sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Munir téh soldadu,Munir teu sieun nanaon,Munir salamet maot,Munir ngélak pélor,Aya musuh anu jadi sasaran némbak Munir,Munir kebal pélor,su
Gilang ngagaduhan panyakit tepa,Cacar mangrupikeun jinis panyakit tepa,Gilang teu pendak sareng seueur jalma,Uni nepungan Gilang,Uni kontrak cacar,Gilang jadi cageur sanggeus papanggih Uni,su
Tari leumpang di pinggir pasar bari melong hpna.,Tari teu sadar manehna keur ngaliwatan parapatan.,Beca péngkolan teu bisa nahan lajuna.,Tari ditabrak beca.,Jalma-jalma di sabudeureun Tari langsung datang mantuan.,Jalma-jalma di sabudeureun Tari keur balanja.,su
Karina boga dua lanceukna,Lanceukna pangkolotna damel salaku dokter anak,Lanceukna kadua damel salaku dokter gigi,Karina bener idolizes dua lanceukna nya,Ku kituna Karina ogé hayang jadi dokter,Karina ngahaja mindeng gering sangkan adina sok merhatikeun dirina,su
Cindy gampang dipangaruhan ku iklan.,Utamana upami iklan anu dimaksud nyaéta iklan pangan.,"Unggal ningali iklan kadaharan anyar dina TV, Cindy pasti hayang nyobaan.",Aya rupa-rupa kadaharan anyar di imah Cindy.,Indungna malah ngagerendeng sabab dahareun di imah can bérés meuli deui.,Indung kuring ngagero kuring sabab pepelakan kuring sadayana layu.,su
Afif nuju liburan di imah pamanna,Imah pamanna ayana di komplek anu kacida asri tur sepi,"Wanci soré, Afif ngurilingan komplek","Basa ngaliwat ka hiji imah, sapédah Afif diudag ku anjing","Si Afif ngaheureuyan, gancang ngadégdég sapédahna",Afif nu boga anjing,su
Axel hates sistem birokrasi di sakola na,Sakola Axel teu ngidinan pintonan seni,Axel sareng sakumna panitia ambek kana kaputusan sakola,Axel terus nyoba ngayakinkeun sakola,Pintonan kasenian terus dilaksanakeun kalawan rupa-rupa bekel anyar,Sakola diwenangkeun pintonan seni ti mimiti,su
Warga RT 1 teu tiasa kaluar ti komplek,Tangkal manggu deukeut gerbang komplek murag,Tangkalna nutupan aksés warga ka luar,Warga babarengan ngabersihan tangkal,"Sanggeus tangkalna dibersihkeun, warga bisa ninggalkeun komplek deui",Tangkalna dipelakan deui dina tempatna,su
palajaran olahraga dinten ieu badminton,Kabéh murid dipénta mawa rakét jeung shuttlecock sorangan,"Bari latihan duaan, kokolot Rendi katéwak dina tangkal",Réndi malédogkeun rékétna nepi ka murag,"Sanajan kitu, rékét Rendi ayeuna ogé napel dina tangkal",Rékét Rendi dijieun tina galah,su
Lady éta di kamar sarua jeung adina nya,adina Lady urang teu bisa babagi lamun saré,Nyonya keuheul ka adina,Lady ménta kamar misah ti adina,Kolotna Nyonya ngabulkeun pamundut Nyonya,Lady teu boga adi,su
Kaputusan Naura teu bisa dibantah.,Naura teu daék ngabulkeun kahayang adina.,Naura tetep teguh.,Teu paduli sanajan lanceukna ngarenghik.,Naura moal ngagaleuh és batu anu dipikahoyong ku adina anu gering.,És potong nu Naura hayang dahar adina.,su
Otak Zizi terus muter bari peuting.,Zizi ngarasa geus poho hal penting.,Sora panto kamar mandi digedor-gedor ku angin gedé ngahudangkeun Zizi.,Zizi walked ka kamar mandi sarta manggihan bak lengkep ngeusi cai jeung ketok masih on.,Zizi inget manehna ngahurungkeun keran cai pikeun ngeusian bak mandi sarta poho mareuman saméméh bade ranjang.,Zizi inget yen ti isuk teu dahar.,su
Misan Alma resep pisan ulin ka cai,Anjeunna paling resep maén dina mandi,Anjeunna oge resep ulin di balong lauk di imah Alma,Teu jarang manéhna asup ka balong lauk,"Ku kituna, kolot kudu salawasna siap nyadiakeun ganti baju",Manéhna hayang jadi singa laut sangkan bisa ulin di cai,su
Soré ieu Nova ngagolér dina ranjangna.,Geus tilu poé Nova mimiti muriang.,"Kiwari suhu awak Nova geus teu luhur, tapi awakna masih karasa lemah.",Nova geus teu diidinan mulang ka sakola ku Ema.,"Lamun Nova geus teu ngarasa leuleus deui peuting ieu, Ibu bakal ngidinan Nova balik sakola isukan.","Lamun Nova geus teu ngarasa leuleus deui peuting ieu, Ema bakal ngiluan Nova di sakola isukan.",su
Nadzira téh adina Nandhita,Nadzira bogoh ka adina,Nandhita nyiwit Nadzira,Nadzira ambek ka Nandhita,Nandhita ninggalkeun kamar Nadzira,Nadzira nyium pipi adina,su
Miranda jeung Keyli sapasang babaturan,Jalma-jalma sok nyebatkeun silaing kalangkang,Miranda nganggap Keyli lanceukna,Keyli sok ngajak Miranda pikeun ngalakukeun hiji hal,Aya sababaraha hal anu dilakukeun ku Miranda sareng Keyli babarengan,Keyli henteu terang Miranda,su
Irina buru-buru indit sabab sieun hujan.,Jarak ti kost ka kantor teu jauh.,Irina tiasa ngahontal éta ku jalan sapuluh menit.,Tapi Irina henteu hoyong résiko kajebak hujan dina jalan ka kantor.,Kasempetan ku hujan sateuacan ngamimitian damel bakal ngajantenkeun haté Irina goréng sadinten.,Nyandak dina hujan sateuacan ngamimitian damel mangrupikeun rencana Irina.,su
Ghaza resep ningali surup,Hawa resep ningali Fajar,Ghaza sok hayang manggihan babaturan keur ngararasakeun surup,Hawa leuwih resep nyorangan,Ghaza jeung Hawa teu bisa ngarasakeun langit babarengan,Hawa ngajak Ghaza marengan manéhna neuteup Fajar,su
Peunteun Yasmin semester ieu turun.,Bédana téh kacida gedéna dibandingkeun jeung semester kamari.,Yasmin bingung ngatur waktu antara kuliah jeung kagiatan di luar kuliah.,"Balukarna, Yasmin teu bisa diajar jeung ngaréngsékeun tugasna kalawan optimal.",Ayeuna Yasmin henteu terang kumaha carana nyarios ka kolotna ngeunaan peunteunna.,Ayeuna Yasmin teu terang kamana.,su
Ceu Doni keuheul pisan,Kamari Kang Doni boga tatangga anyar,"Sabot ngajak kenalan, tatanggana sombong","Henteu ngan éta, tatanggana ogé ribut pisan",Ceu Doni ngarasa kaganggu pisan ku tatanggana,Pak Doni hayang tiis siga tatanggana,su
Deukeut komplek perumahan Rina ayeuna bakal dibuka kafe anyar,Kafé mawa konsép kafé ucing,Konsumén kafe tiasa berinteraksi sareng ucing lucu,"Ti isuk-isuk, jalma-jalma geus ngantri di dinya",Rina ogé ngantri asup ka warnét,Rina rék meuli ucing di kafé,su
Warga RT 1 nyoba-nyoba pikeun megatkeun tarung,Kajadian cekcok antara Pak Juju sareng Pak Mamat,Pa Juju cicingeun miceun runtah kana tong sampah Mamat,Anjeunna henteu hoyong mayar biaya beberesih pikeun tukang sampah,"Pak Mamat néwak Pak Juju beubeureuh, tuluy gelut",Tétéla Ceu Mamat terang uing ku haté,su
Dyta nyandak bagian dina kompetisi sakola,Dyta meunang kompetisi sakola,Dyta meunang piala,Kolot Dyta reueus lamun anakna meunang piala,Dyta ngajadikeun kolotna reueus,Dyta teu réngsé kompetisi sakola nepi ka ahir,su
"Soré éta, Yuna buru-buru ka kantin sakola pikeun balanja jajan.","Fito, sobat Yuna anu ogé dititipkeun ngokolakeun kantin sakola, nungguan di lapangan basket.","""Hayu, urang badé balanja dinten ieu,"" saur Fito bari nyusul Yuna.","""Hmm, yakin jajananna bakal béak engké?"" Yona ngajawab cangcaya.","“Tong hariwang, ieu kantin téh ngan hiji-hijina di sakola urang, pasti jajanan urang laris,” Fito imut, disusul ku seuri lega ti Yuna.",Fito lumpat ka kantin dituturkeun ku Yuna.,su
"Abimana ngarawat kaponakan lalakina, Arya, kalayan ati-ati.",Abimana geus biasa ngalakonan ieu ti Arya leutik.,Abimana bisa ngaganti popok Arya jeung ngamandian.,Abimana oge sabar dina nepangan Arya jeung ngajak ulin.,"Ku kituna, kolot Arya teu kungsi hariwang ninggalkeun Arya jeung Abimana.","Ku sabab kitu, kolot Arya ngaheureuyan Abimana.",su
Imah Iyan diwangun ku 2 lantai.,"Lantai kahiji ngeusi ruang tamu, dapur anu terpadu sareng kamar makan, kamar kulawarga sareng kamar mandi.","Kamar tidur aya di lantai dua, aya kamar kolot Iyan sareng kamar Iyan.","Kamar kolotna Iyan dilengkepan kamar mandi sorangan, jadi kamar nu panglegana.",Iyan jeung kolotna betah cicing di imahna.,Kamar mandi Iyan aya di lantai tilu.,su
Shin mindeng ngado'a dina sapertilu panungtungan peuting,Shin hayang boga pagawean,Shin miharep doana dikabulkeun,Shin teu nyerah nyobian,Shin meunang pakasaban sanggeus 1 bulan pangangguran,Shin kakara nyoba tapi poho solat,su
Silvina ngarasa teu boga kasempetan dina kompetisi ieu,Silvina teu nyangka bakal meunang ieu kompetisi,Silvina ngan miharep yén Allah bakal masihan anjeunna hadiah,Silvina pasrah kana kersa Gusti,Silvina junun jadi juara kompetisi,Silvina henteu ilubiung dina kompetisi ayeuna,su
Sora Hana ceurik ngahudangkeun Bapa.,Bapa langsung nyampeurkeun ka Hana pikeun ningali kajadianana.,Hana diuk hareupeun kandang hamsterna.,Awak hamster Hana ngagolér.,Hamster Hana geus maot.,Hamster Hana dahar sarakah.,su
Cakra seuri nepi ka batuk.,Anjeunna kacida bungahna ningali adegan-adegan lucu dina film-film anu dilalajoanana.,"Sanggeus batuk eureun, manéhna balik fokus lalajo.",Nembongan deui adegan lucu nu matak Cakra seuri deui nepi ka batuk.,Bapa nu keur nongton jeung Cakra nitah Cakra ngala cai heula jang Cakra nginum sanggeus batuk sababaraha kali kawas nu tadi.,Bapa nu lalajo jeung Cakra nitah Cakra meuli jus di tungtung gang.,su
Uki panasaran Ema keur naon di dapur.,Kadaharan naon anu didamel ku Ibu?,Teu biasa mun Ema teu bérés masak mun geus beurang.,Uki nyampeurkeun Ema di dapur.,Tétéla Ema nuju masak réndang.,Tétéla Ema nuju masak mie instan.,su
Libur semester geus datang,Arian badé liburan ka Bali,Arian kakara liburan jeung lima babaturanana,Arian geus meunang idin ti kulawargana,Arian indit liburan ka Bali jeung lima sobatna,Arian nuju liburan sareng kulawargana,su
Glor kakara réngsé lalajo kartun,Glor resep pisan kana lampion dina film,Lampion ngalayang di langit kacida éndahna,Glor hoyong nyobian ngapungkeun lantera,Glor milarian lampion ti toko online,Glor teu resep nonton pilem,su
Gerald teu tahan tiis,Gerald bakal tiis lamun hawa di sabudeureun anjeunna tiis teuing,Suhu hawa di luhur tiis pisan,Gerald keur libur di luhur,Gerald kedip-kedip nalika di Puncak,Gerald ngurilingan Puncak tanpa jaket atawa baju kandel,su
Afif ngarencanakeun pikeun muka usaha leutik,Anjeunna bakal gawé bareng jeung babaturanana,Aranjeunna baris muka usaha mie hayam,"Salaku léngkah munggaran, aranjeunna nyiptakeun konsép mie hayam","Sanggeus éta, maranéhna nangtukeun harga pikeun mie hayam maranéhanana","Numutkeun aranjeunna, mie hayam anu saé didamel tina bihun",su
Sakapeung Fiona ngarasa sedih,Teu boga duit saloba babaturanana,"Samentara éta, babaturanana mindeng indit ka tempat mahal","Sanajan ceuk maranéhna bakal ngubaran Fiona, mojang ngarasa goréng",Anjeunna langkung resep cicing di bumi,Fiona kudu ngajual imahna pikeun meunangkeun duit,su
Bapa teu ka kantor,Bapa kedah ngahadiran rapat,Bapa aya di ruang tamu,Bapa mah pupuhu rapat,Bapa ngahadiran rapat online,Bapa angkat ka kantor kanggo rapat,su
Jiza nyaéta pajabat nagara,Jiza nyaah pisan ka rahayatna,Jiza daék ngalakukeun loba hal pikeun membela rahayatna,Jiza teu hayang rahayatna sangsara,Jiza mangrupikeun pamimpin anu dipercaya,Jiza bungah lamun rahayatna sangsara,su
Lakshmi kedah gaduh hubungan sareng lalaki agama anu sami,Lakshmi nyaeta Muslim,Jonathan nyaéta Kristen Protestan,Lakshmi jeung Jonathan silih pikaresep,Lakshmi sareng Jonathan teu tiasa gaduh hubungan,Lakshmi bakal nikah sareng Jonathan,su
Julia gagal pikeun ngahontal cita hirupna,Julia terus usaha pikeun ngahontal impian na,Julia moal nyerah,Julia junun ngahontal impian na,Julia nyobian dugi anjeunna tiasa ngahontal impian na,Julia nyerah nalika anjeunna henteu tiasa ngahontal impian na,su
"""Hayu urang milarian tempat tuang,"" saur Hamdi sumanget.","“Katingalina pasir di ditu mah geuning,” usul Wita, baturna.",Urang nuturkeun panarimaan iklas kaluar kasur dinya.,"""Pasti nuju tuang di pasir? Tadi aya ucing karek ngocor didinya, nyah,"" tembal Ridho hareupeun tenda.","""Ulah bodo-bodo teuing. Barina ogé, manéh digawé di imah jeung ngurus ucing,"" témbal kuring, disusul ku seuri réréncangan nu séjén.",Ridho ngaitkeun tali sapatu kéncana bari ngahuleng.,su
"""Hujan dina impian? Lagu naon ieu?"" Kuring nanya, anu waktu éta humandeuar kasepian sanggeus ninggalkeun asrama.","""Dengekeun waé,"" jawabna dina tungtung telepon.","""Hah. Kasepian teu bisa kabayar ku lagu,"" ceuk kuring bari ngeluk biwir, untung teu ningali.","""Mung taun munggaran anjeun, kumaha carana abdi tiasa ninggalkeun anjeun di sisi séjén pulo lamun anjeun kawas ieu waktos na nada na rada luhur.","Kuring seuri ngadéngé omonganana, sanajan keur ambek-ambekan manéhna masih bisa némbongkeun perhatian.","""Eh, kadenge aya beja aya pesawat nabrak soré,"" jawabna deui.",su
Fani téh pamingpin rapat peuting ieu,Fani nyiapkeun bahan kanggo rapat wengi ayeuna,Fani kedah hadir dina rapat wengi ayeuna,Fani ngajak para anggotana,Rapat wengi ayeuna lancar,Fani teu tiasa hadir dina rapat wengi ayeuna,su
Isukan tanggal beureum,Umat Islam bakal ngarayakeun Idul Fitri,Idul Fitri nyaéta salah sahiji tanggal beureum,Tanggal beureum dina kalénder sok libur,Idul Fitri téh libur,Karyawan terus digawé salila Idul Fitri,su
Nina nempo awak sahabatna pikeun panungtungan waktu,Nina teu nyangka yén kamari téh poé pamungkas manéhna nempo sobatna,Nina nginget-nginget seuri sobatna dina ingetanana,Nina ceurik teu daékeun,Nina kacida hanjakalna ku kepergian sahabatna,Nina teu bisa indit ka pamakaman sobatna,su
Ovi Ovi jeung Anjani eureun ngadadak.,Anjani nunjuk kana pager imah nu katingali ti ruang tamu tempat diukna.,"Ovi ngadeukeut kana jandela, ningali leuwih jelas naon anu ditunjuk ku Anjani.",Aya motor diparkir gigireun motor Anjani.,Nu tumpak motor nu nyabut helmna teh lanceuk Ovi nu kakara balik ti pagawean.,Nu tumpak motor maké helm beureum.,su
Untari saré di karéta.,Anjeunna exhausted sanggeus isuk jeung sore ngeusi ceramah.,Peuting anjeunna kedah ngahadiran rapat organisasi.,Untari kakara bisa balik ka imah jeung naek kareta tabuh 9 peuting.,Imahna deukeut stasion panungtungan hartina Untari langsung saré tanpa salempang ngeunaan sono.,Untari digebruskeun ku patugas kareta api nu keur sare.,su
Surya meunang lego anyar ti bapana,Surya boga hobi maén Lego,Lego tiasa ngajantenkeun Surya mekarkeun imajinasina,Surya tiasa ngadamel miniatur naon waé tina Lego anu anjeunna gaduh,Surya nyieun miniatur kapal tina Lego anyar na,Surya teu tiasa maén Lego,su
Tomi keuheul pisan ka batur-baturna,Batur-baturna sok puguh,"Upami dikontak ku batur, jarang pisan aranjeunna ngabales","Hasilna, gawé tim Tomi teu optimal",Proyék anu aranjeunna dianggo sok réngsé saatos tanggal anu ditangtukeun,Aranjeunna nampi panghargaan salaku karyawan anu pangsaéna,su
Rian teu boga kabisa,Rian ukur lulusan SMP,Rian butuh duit keur biaya médis indungna,Rian ditarima gawe di jalan,Rian gawéna jadi tukang sasapu jalan,Rian pinter pisan ngitung,su
Pamajikan Raymond maot 2 taun ka pengker,kulawarga Raymond urang pressured anjeunna nikah deui,Raymond masih bogoh pisan ka pamajikanana,Raymond hayang ngarasakeun kasepian heula,Raymond henteu nurut kana tekanan kulawargana,Raymond geura-giru nikah deui sanggeus pamajikanana maot,su
"""Ngahindar moal ngurangan kasalahan anjeun!"" Ahirna kuring ngawanikeun nyarita, sanggeus lila nahan kalakuanana.",Léngkahna ngadadak eureun.,"""Anjeun nyarios sateuacanna yén anjeun moal cicing,"" ceuk kuring, nuturkeun anjeunna.",Saterusna kuring ngarasa leungeun kuring keur ngahontal.,"""Hapunten, abdi peryogi waktos,"" pokna laun pisan, nepi ka leungeun kuring dileupaskeun deui.",Manéhna ngaitkeun tali sapatuna nu leupas.,su
Adina Mira hayang pisan ningali katumbiri,"Bari ningali kartun karesepna, adina Mira ningali katumbiri",Lanceukna resep kana katumbiri warna-warni,"Sanajan kitu, di kota maranéhanana jarang aya rainbows",Adina Mira sedih lantaran teu bisa ningali katumbiri,Adina Mira rék pindah ka imah nu aya katumbiri,su
Talitha nganjang ka panti asuhan dinten Minggu,Talitha meuli loba cocooan,Talitha ngabagikeun cocooan ka budak yatim,Nu boga imah bungah lantaran Talitha teu poho ka imah aslina,Talitha asalna ti panti asuhan,Talitha teu paduli ka budak yatim,su
Aini nyeri huntu,Aini ka dokter gigi,Aini sieun ditilik,Aini dipasihan obat ku dokter,Aini dilempengkeun ku dokter,Aini teu hayang ka dokter gigi,su
Hara bener-bener miharep meunang tempat di surga,Hara rajin ibadah meunang pahala anu loba,Hara oge rajin sedekah,Hara bener-bener ngajauhan tina ngalakukeun dosa,Hara dianggap alim ku jalma-jalma di sabudeureunana,Hara cicingeun maling duit kolotna,su
Zauhir gawéna jadi guru,Zauhir ngajar mata pelajaran fisika,Zauhir damel di SD Rajasa,Zauhir boga budak nu keur SMA,Zauhir jadi guru SD,Zauhir ngajar di SMA Hayata,su
Ema resep tani,Indung hayang ngahasilkeun sayuran sorangan,Indung melak kangkung jeung kangkung di pakarangan,Ibu hoyong masak sayuran,Ema nyandak bahan ti pakarangan,Indung indit meuli kangkung ti tukang sayur,su
Audi néangan sikat huntu na,Audi kudu buru-buru mandi,Audi bakal ditinggalkeun ku kulawargana lamun teu buru-buru,Audi réngsé nyiapkeun on waktos,Audi henteu nyikat huntu,Audi tacan hudang poé kulawargana keur indit-inditan,su
Axeli manggihan catetan heubeul,Axeli nempo eta di gudang di imah,Axeli nanya ka Shella nu katingali reuwas,Shella ngaku yén anjeunna henteu terang nanaon ngeunaan catetan éta,Axeli yakin yén Shella bohong,Imah Axeli teu aya gudang,su
Rebecca meuli loba mie,Rebecca bakal seueur sémah,Babaturan Rebecca bakal cicing di imahna,Rebecca bakal ngalayanan rupa-rupa rasa mie instan,Babaturan Rebecca tiasa milih mie naon waé,Rebecca ngalarang babaturanana datang ka imah,su
Nurul resep nginum kopi,Resti resep nginum coklat panas,Nurul teu resep kana anu dipikaresep ku Resti,Duanana boga rasa anu béda,Nurul teu resep coklat panas,Resti teu resep coklat haneut,su
Erika ngaitkeun kantongna kana paku tukangeun panto.,Tidinya manéhna geus ngaluarkeun eusi kantongna.,Erika langsung ngagolér dina kasur.,Bosen teuing ganti baju heula.,Erika teu nyangka yén survey pikeun ngerjakeun kuliahna bakal nyandak sadinten.,Érika teu nyangka aya tukang roti ngaliwat hareupeun imahna.,su
Cuan ngajak Agus naék roller coaster,Agus teu bisa naék kandaraan,Agus sieun jangkung,Cuan maksakeun Agus pikeun marengan,Agus nolak pangajak Cuan,Cuan teu indit jeung Agus,su
Tadi peuting Lila sibuk maen game online,Manehna poho yen dinten ieu aya tés biologi,"Salila kelas biologi, anjeunna langsung panik",Anjeunna henteu tiasa ngajawab patarosan tés,Lila pasrah kana peunteun anu goréng,Kaulinan mantuan pikeun ngerjakeun patarosan biologi,su
"Sataun kapengker dinten ayeuna, nyaéta dinten kuring kaleungitan salah sahiji jalma anu paling penting dina kahirupan kuring.","Bumi, sahabat kuring, waktu harita ngedalkeun rasa ka kuring.","Kuring nu harita karék putus jeung kakasih, ngarasa dilema.","Sanggeus ngedalkeun rasa, bumi langsung ngiles teu menta jawaban kuring pisan.",Kuring milih henteu milarian bumi sabab bakal nyeri pisan pikeun anjeunna tetep aya di sisi kuring kalayan perasaan anu henteu deui sami.,Bumi resep pisan kueh sareng sagala manisan.,su
Jaman katilu lowong lantaran guru keur ngayakeun rapat,"Nepi ka waktu istirahat, siswa teu aya kagiatan diajar ngajar",Murid dipénta ku guru pikeun diajar mandiri di kelas,"Tapi, aranjeunna henteu ngagunakeun waktos bébas pikeun diajar",Siswa sabenerna ngagunakeun waktu luang maranéhanana pikeun bersantai jeung senang,Murid anteng balik ka imah,su
Sirah Ella sok ngalieuk ka arah panto réstoran lamun aya nu mukakeunana.,Hapé nu aya di leungeun Élla némbongkeun pesen nu terakhir teu dibales ka Icha.,Lima belas menit geus kaliwat nalika Icha tungtungna datang ka Ella.,Icha ménta hampura bari ngabejaan manehna ngeunaan kacilakaan anu anjeunna macét dina lalulintas.,"Ekspresi kesel Ella ngalemes, ngarti yén kasép Icha di luar kendali Icha.","Ekspresi keuheul Ella ngalemes, langsung mesen es teh manis lantaran haus.",su
Adnan henteu hoyong nguciwakeun seueur jalma,Adnan kudu ngantisipasi sagala kasalahan,Adnan teu hayang ngulang kasalahan nu sarua,Ieu panalungtikan kudu suksés,Adnan ati-ati pisan dina pagawéanana,Adnan henteu paduli kana résiko padamelanna,su
Miray nyokot jurusan sarua jeung urut kabogoh nya,Miray kudu ngadegkeun hubungan antara aranjeunna,Miray menta hampura ka urut kabogohna,Miray jadi babaturan deui jeung urut kabogohna,Miray henteu deui gelut jeung urut kabogohna,Miray mumusuhan ka urut kabogohna,su
Khrisna ngajak babaturanna indit ka Kebon Binatang Bandung.,Khrisna geus tilu taun cicing di Bandung pikeun diajar.,"Sanajan kitu, Kresna can pernah nganjang ka kebon binatang sakali.",Babaturan Kresna seuri ningali sumanget Kresna anu ngajak.,Aranjeunna satuju kana kahayang Kresna sarta jangji baris indit ka kebon binatang sabtu minggu hareup.,Aranjeunna nampik tawaran Kresna.,su
Peramal bisa nyieun prediksi ngeunaan mangsa nu bakal datang,Tellers teu merta bener,Tellers bisa nyieun kasalahan,Umat Islam teu kedah percanten kana ramalan,Ahli nujum Muslim,Kahareupna bisa ditangtukeun ku tukang nujum,su
Latihan olahraga ieu ngojay,"Tapi, guruna ngidinan murid anu can bisa ngojay teu milu",Sabenerna mah Sora can bisa ngojay,"Sanajan kitu, Sora éra ku babaturanana sarta maksa dirina ngalakukeun kitu",Sora ampir titeuleum lantaran teu hayang ngabéjaan sabenerna teu bisa ngojay,Sora ngadadak jadi pinter ngojay,su
Vino resep pisan maén sareng fans,Anjeunna bakal nangtung di hareup kipas ngajalankeun,"Sanggeus éta, manéhna nuturkeun arah kipas pindah",Vino bakal nyarita bari nyanghareupan kipas,Manéhna bungah lantaran sorana jadi kawas robot,Vino resep ngadahar angin,su
Ervin nyandak ujian asup universitas,Ervin rajin diajar,Pamilon ujian anu lulus bakal nampi skor minimal 600,Ervin meunang skor tés 767,Ervin lulus ujian asup universitas,Skor tés Ervin henteu nyumponan sarat pikeun lulus ujian asup universitas,su
Elvira téh budak sieun,"Mun Elvira lalajo film horor, manéhna teu bisa saré",Elvira diondang ku sobatna pikeun lalajo pilem,Elvira tétéla lalajo pilem horor,Elvira teu bisa saré peuting éta,Elvira nyarankeun nonton pilem horor,su
Lanceuk ngajak piknik,Lokasi piknik maranéhna teu jauh ti imah,Adina mah mawa loba dahareun,Adina mah gumbira ku kagiatan piknik,Lanceuk jeung adina dahar piknik babarengan,Lanceuk teu daék ngajak piknik,su
Arina ayeuna resep nyulam,Manehna boga kotak badag ngeusi benang nyulam warni,"Upami anjeunna gaduh waktos luang, anjeunna bakal ngarajut",Manehna ngarajut rupa-rupa pernak-pernik rumah tangga saperti taplak meja,Ayeuna imahna dihias ku rajutan anu éndah,Ema hoyong Arina diajar ngaput,su
Velita kedah sumping ka bandara dinten Rebo,Velita kapaksa ngantep sobat pangalusna nya indit,Velita teu hayang sobat pangalusna nya ninggalkeun,Velita kedah ngantunkeun sahabatna,Sahabat Velita nuju angkat ka luar negeri,Velita datang jeung sobat pangalusna nya,su
Penyanyi solo favorit Sonia nyaéta Tulus.,Sonia ngapalkeun kabéh lagu.,Sonia sok ngagaleuh sadaya albeum Tulus.,Sonia ogé daék nyimpen duit pikeun bisa lalajo konser Tulus di kota nya.,Sonia estu idolizes Tulus.,Sonia idola pisan Rendy Pandugo.,su
Bapa ngecas deui hpna,Ibu oge hoyong ngecas hpna,Aya ngan hiji titik recharging di rohangan,Ema ngabujuk bapa,Mamah ngecas hp di kamar,Bapa teu gaduh hp,su
Damian ngahaja jadi saksi mata,Kajadian anu ditingali ku Damian kacida reuwasna,Damian teu nyangka ieu kajadian,Damian langsung ngalaporkeun ka aparat,Damian jadi saksi di pangadilan,Damian teu aya di tempat kajadian nalika kajadian,su
Isla geus biasa dahar maké sendok jeung garpu.,Anjeunna ampir teu pernah dahar jeung leungeun-Na.,Hiji waktu Isla poho mawa sendok jeung garpu keur dahar beurang di sakola.,"Samentara éta, waktu istirahat geus ampir réngsé sarta euweuh waktu keur nginjeum cutlery ti kantin.","Pikeun kahiji kalina Isla nyoba dahar kalawan leungeun-Na, sarta tétéla manéhna ngarasakeun eta.",Isla ogé meuli ketoprak di kantin.,su
Sawatara warga RT 2 reuwaseun basa kadéngé sora gorowok di imahna,Maranehna nyangka aya imah ambruk atawa lini,"Sanggeus ditalungtik, tétéla Pak Jamal parantos ngalaksanakeun rénovasi imah sacara éksténsif","Najan kitu, manéhna teu ménta idin ti warga atawa RT",Warga jengkel ka Pak Jamal lantaran teu saluyu kana etika jeung aturan RT,Warga naroskeun ka Pak Jamal kanggo ngarenovasi bumina ogé,su
Mela boga dua kuya,Penyu jalu ngaranna Jojo,Penyu bikang ngaranna Momo,Saban poé Méla méré kadaharan nu séhat,Ayeuna duanana geus sagedé sirah Mela,Penyu resep ngadahar lauk bakar,su
Feli reuwas nalika ngitung duit dina dompétna sarta jumlahna ngurangan.,Feli ngarasa teu make duit ayeuna.,"Keur dahar beurang di kantor, Feli mawa dahar beurang.",Feli ogé sok balik-balik nyetir mobil sorangan.,Feli jempé lila-lila saméméh inget yén manéhna geus méakkeun duit keur meuli inuman di kantin.,Feli jempé lila-lila saméméh nginget-nginget yén mobilna tacan ditunda di garasi.,su
Narakim rék ka basisir,Narakim manggih sato,Narakim nempo kuya ngojay,Narakim ningali kuya,Narakim resep ningali sato laut,Narakim nuju ka gurun,su
Firdaus keur ulin jeung Arden,Maranéhna ulin di wewengkon padumukan,Arden boga sora pisan nyaring,Arden ngagorowok bari maén,Tatangga-tatanggana jengkel ku sabab sorana,Arden gaduh sora anu lembut,su
Si Émé karék murag kana leutak sawah,Indungna nyampeurkeun ka Emé lantaran bajuna kotor,Eme dititah langsung nyeuseuh baju sorangan,Émé buru-buru mandi,Émé mandi bari nyeuseuh baju,Eme teu ulin ka luar imah,su
Déni téh budak bangor anu resep nyieun masalah,"Di sakola, anjeunna sering bolos, gelut sareng huru-hara",Kalakuan Deni maksa sakola ngagero indungna Deni,Déni teu nyangka indungna ceurik ngadéngé kalakuanana di sakola,Manéhna ngarasa kaliru jeung boga tekad pikeun jadi budak nu hadé,Déni mutuskeun pikeun leuwih ati-ati dina nyieun masalah sangkan indungna teu nyaho,su
Budak awéwé éta namina Rahma.,Unggal poé manéhna cheerfully datang ka imah kuring.,"Boh pikeun ngaco sareng ponsel kuring pikeun nyobian épék Instagram anu lucu, atanapi ngan ukur nyekel kuring dina telepon.",Manehna teu datang ka imah kuring sabab bosen di imah.,Tapi kusabab kuring hiji-hijina babaturan anu anjeunna gaduh.,Manehna teh mojang surem jeung sepi.,su
Alvan nyokot albeum poto tina lomari,Alvan melong kaca hareup,Ngaran Alvan ditulis dina sampul albeum poto,Alvan seuri lebar ningali eusi albeum poto,Albeum ngandung poto Alvan,Kulawarga Alvan teu boga albeum poto,su
Ari Nino bungah kacida,Anjeunna bakal nganjang ka imah nini,"Unggal nganjang, nini teu poho méré duit saku",Lomari nini ogé pinuh ku jajanan karesepna,Nino nyaah pisan ka nini alusna,Nino ngan hayang jadi anak nini,su
