sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
"Soré éta, Yuna buru-buru ka warung kopi pikeun nginum bandrek.","Fito, sobat Yuna anu ogé dititipkeun ngokolakeun warung kopi, nungguan di lapangan sepak bola.","Hayu, urang badé nginum bandrek dinten ieu, saur Fito bari nyusul Yuna.","Hmm, yakin bandrekna bakal béak engké? Yona ngajawab cangcaya.","Tong hariwang, ieu warung kopi téh ngan hiji-hijina di kampung urang, pasti bandrek urang laris, Fito imut, disusul ku seuri lega ti Yuna.",Fito lumpat ka warung kopi dituturkeun ku Yuna.
"Abdi ngarawat kaponakan lalakina, Arya, kalayan ati-ati nalika indit ka pasanggiri reog di Bandung.","Abdi geus biasa ngalakonan ieu ti Arya leutik, ti mula kénéh kawilang budak Sunda.",Abdi bisa ngaganti popok Arya jeung ngamandian di cikundul Lembang.,Abdi oge sabar dina nepangan Arya jeung ngajak ulin di alun-alun Suryakencana.,"Ku kituna, kolot Arya teu kungsi hariwang ninggalkeun Arya jeung Abdi di imah tradisional Sunda.","Ku sabab kitu, kolot Arya ngaheureuyan Abdi ngagunakeun bahasa Sunda anu loma."
Imah Iyan diwangun ku 2 lantai nu ngagambarkeun arsitektur tradisional Sunda.,"Lantai kahiji ngeusi ruang tamu nu ngagunakeun ukiran khas Sunda, dapur anu terpadu sareng kamar makan nu ngagunakeun meja dan korsi tradisional, kamar kulawarga sareng kamar mandi nu ngagunakeun genteng seng.","Kamar tidur aya di lantai dua, aya kamar kolot Iyan nu dilengkepan Bale Batik sareng kamar Iyan nu ngagunakeun perabotan adat Sunda.","Kamar kolotna Iyan dilengkepan kamar mandi sorangan nu ngagunakeun batu alam, jadi kamar nu panglegana nganggo hiasan dinding tradisional Sunda.",Iyan jeung kolotna betah cicing di imahna nu ngahasilkeun kenyamanan ala Sunda.,Kamar mandi Iyan aya di lantai tilu.
Manéh mindeng ngado'a dina sapertilu panungtungan peuting nu aya di gunung Tangkuban Perahu,Manéh hayang boga pagawean di industri batik Cirebon,Manéh miharep doana dikabulkeun di pasar tradisional Bandung,Manéh teu nyerah nyobian meskipun kalah dina lomba debus,Manéh meunang pakasaban sanggeus 1 bulan pangangguran di PT. Krakatau Steel,Manéh kakara nyoba tapi poho solat Subuh
Silvina ngarasa teu boga kasempetan dina kompetisi jaipong ieu,Silvina teu nyangka bakal meunang hadiah pikeun ngajago budaya Sunda ieu kompetisi,Silvina ngan miharep yén Allah bakal masihan anjeunna hadiah nu munggaran dina kompetisi nyanyi lagu Sunda,"Silvina pasrah kana kersa Gusti, nunggu hasil panjurian ti juri kompetisi ngawih Sunda ieu",Silvina junun jadi juara kompetisi degung Sunda,Silvina henteu ilubiung dina upacara adat Sunda ayeuna
Sora Hana ceurik ngahudangkeun Bapa.,Bapa langsung nyampeurkeun ka Hana pikeun ningali kajadian di hareup kandang hamsterna.,Hana diuk hareupeun kandang hamsterna nu aya di taman bungbuahan.,Awak hamster Hana ngagolér saperti ceurik di pagunungan.,"Hamster Hana geus maot, tuluy Hana ngajaga kumbahna nu anyar aya.","Hamster Hana dahar sarakah nu aya di lémari es, tuluy jadi gede pisan."
Cakra seuri nepi ka batuk nalika ngadangu lalajo di layar tanceb nu mangrupa film Sunda.,Anjeunna kacida bungahna ningali adegan-adegan lucu na komedian Sunda kawas Dedi Gumelar jeung Jojon dina film-film anu dilalajoanana.,"Sanggeus batuk eureun, manéhna balik fokus lalajo sambil nginum cai jeuk nu dingin.",Nembongan deui adegan lucu nu matak Cakra seuri deui nepi ka batuk terus-terusan nepi ka tunduh.,"Bapa nu keur nongton jeung Cakra nitah Cakra ngala cai heula jang Cakra nginum sanggeus batuk sababaraha kali kawas nu tadi, saenggeus éta Cakra meuli es kacang.",Bapa nu lalajo jeung Cakra nitah Cakra meuli colenak di tungtung gang pikeun ciga heula.
Uki panasaran Ema keur naon di imah.,Kadaharan naon anu didamel ku Ibu pikeun ngaliwatan surup?,Teu biasa mun Ema teu bérés ngaleueutkeun sayur asem mun geus beurang.,Uki nyampeurkeun Ema di latar.,Tétéla Ema nuju masak péuyeum.,Tétéla Ema nuju masak soto Bandung.
Musim hujan geus datang,Arian badé ngala keur nyocos ka Ciwidey,Arian kakara ngala keur nyocos jeung lima babaturanana,Arian geus meunang idin ti kulawargana,Arian indit ngala keur nyocos ka Ciwidey jeung lima sobatna,Arian nuju ngala keur nyocos sareng kulawargana
Kaulinan urang réngsé lalajo wayang golek,Urang resep pisan kana jaipongan dina upacara adat,Jaipongan nu ngalawang di panggung kacida éndahna,Urang hoyong nyobian ngahudangkeun reog,Urang milarian kain batik ti toko tradisional,Urang teu resep ngiring upacara sedekah bumi
Gerald teu tahan tiis,Gerald bakal tiis lamun hawa di sabudeureun anjeunna tiis teuing sapertos hawa di Ciwidey,"Suhu hawa di luhur tiis pisan, ampir sapertos di Kawah Putih","Gerald keur libur di luhur, ka tempat anu kasohor pisan di Bandung",Gerald kedip-kedip nalika di Puncak Bintang,Gerald ngurilingan Tangkuban Perahu tanpa jaket atawa baju kandel
Afif ngarencanakeun pikeun muka warung kopi tradisional Sunda,Anjeunna bakal gawé bareng jeung babaturanana pikeun ngahiji rasa kopi Sunda,Aranjeunna baris muka warung kopi nu ngajual kopi Sunda nu éndah,"Salaku léngkah munggaran, aranjeunna nyiptakeun konsép warung kopi nu ngahiji rasa kopi Sunda","Sanggeus éta, maranéhna nangtukeun harga pikeun kopi Sunda maranéhanana","Numutkeun aranjeunna, kopi Sunda anu saé didamel tina kopi Arabika"
Sakapeung Fiona ngarasa sedih nalika teu bisa ngahadiaan pesta ngawitan puasa,Teu boga duit saloba babaturanana pikeun membeli baju anyar,"Samentara éta, babaturanana mindeng indit ka tempat ziarah di Gunung Galunggung","Sanajan ceuk maranéhna bakal ngubaran Fiona, mojang ngarasa goréng lantaran teu bisa ngajak kulawarga ka pesta",Anjeunna langkung resep cicing di bumi tatar Sunda,Fiona kudu ngajual imahna pikeun meunangkeun duit pikeun ngahadiaan pesta rakyat
Bapa teu ka sawah,Bapa kudu ngahadiran acara adat,Bapa aya di imah,Bapa mah ngajaga upacara,Bapa ngahadiran acara adat di pura,Bapa angkat ka dayeuh kanggo rapat
Jiza nyaéta pajabat nagara anu dipilih ku rahayat Sunda,Jiza nyaah pisan ka rahayatna anu dumuk di Tatar Parahyangan,Jiza daék ngalakukeun loba hal pikeun membela rahayatna anu ayeuna nyanghareupan kesusahan ékonomi,Jiza teu hayang rahayatna sangsara kawas nu keur di masa panjajahan Walanda,Jiza mangrupikeun pamimpin anu dipercaya ku rahayat Sunda pikeun ngajaga kabudayaan urang,Jiza bungah lamun rahayatna sangsara ku sabab kabiasaan nu teu hade
Lakshmi kedah galo hubungan sareng lalaki agama anu sami,Lakshmi nyaeta Sunda Wiwitan,Jonathan nyaéta Islam,Lakshmi jeung Jonathan silih pikaresep,Lakshmi sareng Jonathan teu tiasa gaduh hubungan,Lakshmi bakal nikah sareng Jonathan di Purbasari
Jula guguru kudu ngahontal cita hirupna sangkan ari marianeuh di Tatar Pasundan,"Jula terus usaha pikeun ngamumule Sangkuriang, impian na nu teu kungsi lempas",Jula moal nyerah ngarasa tangtungan ka leluhur na anu ngahontal kameju,Jula junun ngahontal impian na kawas kajajadran Siliwangi,"Jula nyobian dugi anjeunna tiasa ngamumule impian na, jadi urang Sunda anu boga wibawa","Jula nyerah nalika anjeunna henteu tiasa ngahontal impian na, lir ngabela di Gunung Tangkuban Perahu"
"Hayu urang milarian tempat ngalak di Ciater,",,"Urang nuturkeun panarimaan iklas kaluar tina bumi leutik di kebon teh,","Pasti nuju Ciater di ngalak? Tadi aya ucing panganten ngocor didinya, nyah,","Ulah bodo-bodo teuing. Barina ogé, manéh digawé di imah jeung ngurus sawah,",Ridho ngaitkeun tali sapatu bari ngahuleng di hareupeun angklung
Hujan dina impian? Lagu naon ieu?,"Dengekeun waé,","Hah. Kasepian teu bisa kabayar ku lagu,","Mung taun munggaran anjeun, kumaha carana abdi tiasa ninggalkeun anjeun di sisi séjén pulo lamun anjeun kawas ieu waktos na nada na rada luhur. ","Kuring seuri ngadéngé omonganana, sanajan keur ambek-ambekan manéhna masih bisa némbongkeun perhatian. ","Eh, kadenge aya beja aya pesawat nabrak soré,"
Fani téh pamingpin rapat peuting ieu di Dusun Cipanas,Fani nyiapkeun bahan kanggo rapat wengi ayeuna maké rujak ciwideuy,Fani kedah hadir dina rapat wengi ayeuna pikeun ngajukeun tradisi Sunda,Fani ngajak para anggotana pikeun babakti ka lembur Batujaya,"Rapat wengi ayeuna lancar, sariaton dibagikeun ka para anggota",Fani teu tiasa hadir dina rapat wengi ayeuna alatan keur nonton Wayang Golek
Isukan tanggal beureum,Umat Islam bakal ngarayakeun Idul Fitri nu sacara umum dilaksanakeun di masjid atanapi musala,Idul Fitri nyaéta salah sahiji tanggal beureum nu ditunggu-tunggu di bulan Ramadan,"Tanggal beureum dina kalénder sok libur, jadi urang bisa leyur karo kulawarga",Idul Fitri téh libur nu dipaké pikeun silaturahmi jeung kumpul karo barudak,"Karyawan terus digawé salila Idul Fitri, sanajan can leres pisan"
Nina nemplo awak sahabatna pikeun nyanding pangajian Ramadhan,Nina teu nyangka yén kamari téh peuting pamungkas manéhna nempo sobatna,Nina nginget-nginget seuri sobatna dina ingetan ngadegkeun masjid,Nina ceurik teu daékeun bae nyanding sholat tarawih,Nina kacida hanjakalna ku pisan pindahna sahabatna ka kota séjén,Nina teu bisa indit ka upacara adat seren taun sobatna
Kang Ovi jeung Ratu Anjani eureun ngadadak di hareupeun imahna di Bandung.,Ratu Anjani nunjuk kana pager imah nu katingali ti ruang tamu tempat diukna ngopi.,"Kang Ovi ngadeukeut kana jandela, ningali leuwih jelas naon anu ditunjuk ku Ratu Anjani, nu ari katingali ngagunung.","Aya motor diparkir gigireun motor Ratu Anjani, nu ari boga nomer polisi B 1234.",Nu tumpak motor nu nyabut helmna teh lanceuk Kang Ovi nu kakara balik ti pagawean di pabrik tahu di Ciwidey.,"Nu tumpak motor maké helm beureum, tapi Kang Ovi teu terang ngajanten kana motor éta."
Untari saré di karéta nu leumpang ti Bandung ka Jakarta.,Anjeunna exhausted sanggeus isuk jeung sore ngeusi ceramah di Pasar Baru.,Peuting anjeunna kedah ngahadiran rapat organisasi di Saung Angklung Udjo.,Untari kakara bisa balik ka imah jeung naek kareta tabuh 9 peuting saking ngalancarkeun acara di Gedung Sate.,Imahna deukeut stasion Panungtungan hartina Untari langsung saré tanpa salempang ngeunaan sono kareta.,Untari digebruskeun ku patugas kareta api nu keur sare sambil ngadéngékeun lagu Sunda.
Surya meunang angklung anyar ti bapana,Surya boga hobi ngawihan angklung,Angklung tiasa ngajantenkeun Surya mekarkeun imajinasina,Surya tiasa ngadamel lagu daérah naon waé ngagunakeun angklung anu anjeunna gaduh,Surya nyieun lagu Bajidor Kahiji tina angklung anyar na,Surya teu tiasa ngawihan angklung
Tomi resep pisan kana baturna anu di Dayeuhkolot,Baturna di Dayeuhkolot sok ngabogaan kaulinan tradisional,"Upami dikontak ku batur, jarang pisan aranjeunna ngabales lantaran keur ngalongok kesenian rakyat","Hasilna, gawé tim Tomi teu optimal lantaran kurangnya komunikasi antawis baturna",Proyék anu aranjeunna dianggo sok réngsé saatos upacara adat anu ditangtukeun,Aranjeunna nampi panghargaan salaku karyawan anu pangsaéna di Taman Budaya Sunda
Rian teu boga kabisa,Rian ukur lulusan SMP,Rian butuh duit keur biaya médis indungna nu keur gering,Rian ditarima gawe di pasar tradisional,Rian gawéna jadi tukang ngajual kadupati,Rian jadi juara lomba ngawih pupujian 
"Pamajikan Raymond maot 2 taun ka pengker, tuluy anjeunna ngantosan lebaran di rumah adat di Garut","Kulawarga Raymond urang pressured anjeunna nikah deui, terus méré conto kana rayana nu tos aya dulur di Tasikmalaya","Raymond masih bogoh pisan ka pamajikanana, nu terakhir ngajak anjeunna ngajalan di basisir Palabuhanratu","Raymond hayang ngarasakeun kasepian heula, terus nyalanjang ka ngalayah di pagelaran wayang golek","Raymond henteu nurut kana tekanan kulawargana, terus ngamekarkeun dagangan di pasar Bantarjati","Raymond geura-giru nikah deui sanggeus pamajikanana maot, tapi tuluy ngadepkeun upacara adat di imah adat Sunda"
Ngahindar moal ngurangan pangawinan di imah anjeun!,Léngkahna ngadadak eureun di hareupeun saung Angklung Udjo.,"Anjeun nyarios sateuacanna yén anjeun moal nonton wayang golek,",Saterusna kuring ngarasa leungeun kuring keur ngahontal kacida anu dijual di Pasar Baru.,"Hapunten, abdi peryogi waktos, nepi ka leungeun kuring dileupaskeun deui.",Manéhna ngaitkeun tali sapatuna nu leupas di Taman Wisata Mekarsari.
Adina Mira hayang pisan ningali paréntah uluk,"Bari ningali wayang golek karesepna, adina Mira ningali paréntah uluk",Lanceukna resep kana paréntah uluk nu aya di Gunung Tangkuban Perahu,"Sanajan kitu, di kota maranéhanana jarang aya pamentasan wayang",Adina Mira sedih lantaran teu bisa ningali paréntah uluk,Adina Mira rék pindah ka imah nu aya di Kampung Naga
Talitha nganjang ka sesepuhan di kampung dinten Minggu,Talitha meuli loba inuman traditional di pasar,Talitha ngabagikeun inuman ka para sesepuh di kampung,Nu boga leuit bungah lantaran Talitha teu poho ka adat istiadat leluhur,Talitha asalna ti kampung halaman,Talitha teu paduli ka adat istiadat Sunda
Aini ngarasa nyeri huntu nalika nginum cai panas,Aini ka dokter gigi di rumah sakit Hasan Sadikin Bandung,Aini sieun ditilik ku dokter gigi pikeun dicek kana gigi nu ngarasa nyeri,Aini dipasihan obat ku dokter pikeun ngurangan rasa nyeri huntu,Aini dilempengkeun ku dokter gigi pikeun ngajaga kana gigi nu ngarasa nyeri téa,Aini teu hayang ka dokter gigi kénéh sabab gigina teu nyeri téa
Hara bener-bener miharep meunang tempat di Kahiyangan,Hara rajin ngalakukeun sembahyang meunang pahala anu loba di akhirat,Hara oge rajin sedekah ka masjid jeung yayasanku,Hara bener-bener ngajauhan tina ngalakukeun dosa ngaliwatan ngajauhan sirikan,Hara dianggap alim ku jalma-jalma di sabudeureunana lantaran kasalehannana,Hara cicingeun maling duit kolotna nu ngaranna Si Kabayan
Zauhir gawéna jadi ulama,Zauhir ngajar mata pelajaran ngaji,Zauhir damel di Masjid Agung Bandung,Zauhir boga budak nu keur SMP Pasundan,Zauhir jadi imam di masjid,Zauhir ngajar di pesantren Cianjur
Ema resep tani,Indung hayang ngahasilkeun sayuran sorangan ti leuwih seger jeung bergizi,"Indung ngahijikeun kacang panjang, kacang buncis, jeung buncis di kebon di pinggir walungan Citarum",Ibu hoyong masak sayuran anu seger pikeun budak-budak,Ema nyandak bahan ti kebon pikeun ngolah masakan has sunda,Indung indit meuli gorihi ti pasar tradisional
Rudi rék nginum bandrek teh na,Rudi kudu buru-buru mandi sanggeus ngaberkas,Rudi bakal ditinggalkeun ku rombonganna lamun teu buru-buru,Rudi réngsé ngajaga budak on waktos,Rudi henteu nginum bandrek,Rudi tacan nampa pangajian kulawargana keur ngarania
Ujang manggihan surat heubeul di laci,Ujang nempo eta di saung di imah bapa,Ujang nanya ka Entin nu katingali reuwas,Entin ngaku yén anjeunna henteu terang nanaon ngeunaan surat éta,Ujang yakin yén Entin bohong,Imah Ujang teu aya saung
Rebecca resep ngeuleum sebak,Rebecca bakal nyoba deungeun lalaki,Babaturan Rebecca bakal kumpul di buruan,Rebecca bakal ngamekarkeun rupa-rupa rasa kue has,Babaturan Rebecca tiasa milih kue naon waé,Rebecca ngalarang babaturanana datang ka buruan
Nurul hoyong nginum bandrek,Resti hoyong nginum bajigur,Nurul teu resep kana anu dipikaresep ku Resti,Duanana boga rasa anu béda,Nurul teu resep bajigur,Resti teu resep bandrek
Erika ngaitkeun kantongna kana paku tukangeun panto di kebon batu nu ngora.,Tidinya manéhna geus ngaluarkeun eusi kantongna nu aya dina rongga batu alus.,Erika langsung ngagolér dina kasur nu dibalut ku karémbong wanda.,Bosen teuing ganti baju heula nu dijieun tina bahan batik Sunda.,Erika teu nyangka yén upacara tradisional ngalakukeun kuliahna bakal nyandak sadinten.,Érika teu nyangka aya tukang angklung ngaliwat hareupeun imahna.
Cuan ngajak Agus naék angklung,Agus teu bisa naék kandaraan tradisional,Agus sieun jangkung ngiring iring,Cuan maksakeun Agus pikeun ngalanglang,Agus nolak pangajak Cuan,Cuan teu indit jeung Agus ka Upas
Tadi peuting Lila sibuk maen jaipongan online,Manehna poho yen dinten ieu aya tés sajarah Sunda,"Salila kelas sejarah Sunda, anjeunna langsung panik",Anjeunna henteu tiasa ngajawab patarosan ngeunaan Prabu Siliwangi,Lila pasrah kana peunteun anu goréng,Kaulinan maen jaipongan mantuan pikeun ngerjakeun patarosan sajarah Sunda
"Sataun kapengker dinten ayeuna, nyaéta dinten kuring kaleungitan salah sahiji jalma anu paling penting dina kahirupan kuring, anu nganteurkeun kasenangan pikeun nyanyi kidung Sunda.","Bumi, sahabat kuring, waktu harita ngedalkeun rasa ka kuring nu keur ngalongok di Taman Sari Bogor.","Kuring nu harita karék putus jeung kakasih, ngarasa dilema nu kawangun ti rasa sedih sareng rasa kangen ka éndog nu éndah.","Sanggeus ngedalkeun rasa, bumi langsung ngiles teu menta jawaban kuring pisan, ngantepkeun kuring pikeun ngagunemkeun wayang golek.","Kuring milih henteu milarian bumi sabab bakal nyeri pisan pikeun anjeunna tetep aya di sisi kuring kalayan perasaan anu henteu deui sami, saperti rasa kuring waktu ditinggalkeun ku anjeun di Masjid Agung Bandung.",Bumi resep pisan kueh sareng sagala manisan di toko kueh Sariwangi nu éndah.
"Poé rebo siang, pasantén lowong lantaran guru keur ngayakeun rapat di aula sekolah","Nepi ka waktu istirahat, siswa teu aya kagiatan diajar ngajar di kelas",Murid dipénta ku guru pikeun diajar mandiri di kelas sambil nginum bandrek,"Tapi, aranjeunna henteu ngagunakeun waktos bébas pikeun diajar, malah ngariung di lapang",Siswa sabenerna ngagunakeun waktu luang maranéhanana pikeun bersantai jeung senang di warung kopi leutik deukeut sekolah,Murid anteng balik ka imah pikeun ngayakeun ibadah magrib
Sirah Ella sok ngalieuk ka arah panto réstoran lamun aya nu mukakeunana ngalakukeun ngabung keur pesta pangantenan di kampung.,Hapé nu aya di leungeun Élla némbongkeun pesen nu terakhir teu dibales ka Icha nu ari ngabung keur upacara adat Sunda.,Lima belas menit geus kaliwat nalika Icha tungtungna datang ka Ella di panto réstoran nu aya di deukeut situs Batujaya.,Icha ménta hampura bari ngabejaan manehna ngeunaan kacilakaan anu anjeunna macét dina lalulintas waktu ngalakukeun ngabung keur ngarak Sisingaan.,"Ekspresi kesel Ella ngalemes, ngarti yén kasép Icha di luar kendali Icha lantaran kacilakaan di jalan raya.","Ekspresi keuheul Ella ngalemes, langsung mesen es teh manis lantaran haus usum panonpoé di Tatar Sunda."
Adnan henteu hoyong ngayonkeun seueur jalma ka pasar,Adnan kudu ngantisipasi sagala risiko saénggeus ngagunakeun béré,Adnan teu hayang ngulang kasalahan nu sarua di pasar,Ieu panalungtikan kudu suksés di acara ngabuka toko anyar,Adnan ati-ati pisan dina ngagunakeun batik has sunda,Adnan henteu paduli kana résiko padamelanna di pasar tradisional
Miray nyokot jurusan sarua jeung urut kabogoh nu miboga galuh di Cianjur,Miray kudu ngadegkeun hubungan antara aranjeunna sanggeus ngalakonan sesajen ka leluhur,Miray menta hampura ka urut kabogohna nu boga loba pangalaman dina ngajaga adat istiadat Sunda,Miray jadi babaturan deui jeung urut kabogohna nu resep ngawih tembang Sunda,Miray henteu deui gelut jeung urut kabogohna sanggeus ngabahas masalah di hareupeun panghulu,Miray mumusuhan ka urut kabogohna nu ngahalang-halangi upacara adat Sunda
Khrisna ngajak babaturanna indit ka Pesta Udjo ngariung di Bandung.,Khrisna geus tilu taun cicing di Bandung pikeun diajar ngariung.,"Sanajan kitu, Kresna can pernah nganjang ka saung angklung Udjo sakali.",Babaturan Kresna seuri ningali sumanget Kresna anu ngajak ngariung.,Aranjeunna satuju kana kahayang Kresna sarta jangji baris indit ka saung angklung Udjo sabtu minggu hareup.,Aranjeunna nampik tawaran Kresna lantaran can nangtung ngariung.
Urang Sunda bisa ngalaksanakeun upacara adat ngeunaan panén nu bakal datang,Dongéng Lutung Kasarung teu merta bener,Pantun Sunda bisa nyieun kasalahan,Masjid di Tasikmalaya teu kedah percanten kana ramalan,Ulama Sunda,Pamain wayang golek bisa ngarangkay kahareupna
Latihan kasenian tradisional Sunda ieu ngojay,"Tapi, guruna ngidinan murid anu can bisa maén suling teu milu",Sabenerna mah Sora can bisa maén suling,"Sanajan kitu, Sora éra ku babaturanana sarta maksa dirina ngalakukeun kitu pikeun ngahormat Budaya Sunda",Sora ampir titeuleum lantaran teu hayang ngabéjaan sabenerna teu bisa maén suling,Sora ngadadak jadi pinter maén suling sarta jadi jawara Jaipong
Vino resep maén sepak bola sareng para suhunan di lapangan Kabupaten Bandung,Anjeunna bakal nangtung di hareup gunungan ngajalankeun tradisi ngala kuningan,"Sanggeus éta, manéhna nuturkeun arah angin pindah ka Gunung Tangkuban Perahu",Vino bakal nyarita bari nyanghareupan kipas angin nu ngaliwatan situ Patenggang,Manéhna bungah lantaran sorana jadi kawas Wayang Golek,Vino resep ngadahar angin nu tiup ti gunung Burangrang
Ervin nyandak ujian asup paguron luhur,Ervin terus diajar di Pondok Pesantren,Pamilun ujian anu lulus bakal nampi skor minimal 600,Ervin meunang skor tés 767,Ervin lulus ujian asup paguron luhur,Skor tés Ervin henteu nyumponan sarat pikeun lulus ujian asup paguron luhur
Elvira téh budak nu pinter ngalukis batik,"Mun Elvira lalajo ngarawikeun wayang golek, manéhna teu bisa saré",Elvira diondang ku sobatna pikeun lalajo kasenian Sunda,Elvira tétéla lalajo wayang golek di Saung Angklung Udjo,Elvira teu bisa saré peuting éta kénéh ngerawikeun wayang golek,Elvira nyarankeun nonton konser degung
Urang ngajak indit ka Situ Patenggang,Lokasi éta teu jauh ti Kawah Putih,Ieu mah mawa loba rupa-rupa dahareun Sunda,Ieu mah gumbira ku kagiatan ngaliwatan alam,Urang jeung adi dahar di tepi situ babarengan,Urang teu daék ngajak ka éta tempat
Arina rék ngajukeun resep ngamumule kacang bereum nu lezat pisan,Manehna boga kuali gede pikeun ngagoreng kacang bereum nu seger,"Upami anjeunna gaduh waktos luang, anjeunna bakal nyieun siomay","Manehna ngajajah siomay nu rupa-rupa bentukna, saperti siomay kacang bereum",Ayeuna imahna batur nu loba ngagambar siomay nu éndah,Ema hoyong Arina diajar ngagoréng kacang bereum
Velita kedah sumping ka Bandung Supermall dinten Rebo pikeun nonton wayang golek,Velita kapaksa ngantep sahabat pangalusna nya indit ka Jakarta,Velita teu hayang sobat pangalusna nya ninggalkeun tanpa ngagrup,Velita kedah ngantunkeun sahabatna ka stasiun Hall ka Bandung,Sahabat Velita nuju angkat ka luar negeri pikeun kuliah,Velita datang jeung sobat pangalusna nya pikeun makan batagor
Penyanyi solo favorit Siti nyaéta Wali.,Siti ngapalkeun kabéh lagu daérah Sunda.,Siti sok ngagaleuh sadaya albeum Wali nu ngagambarkeun budaya Sunda.,Siti ogé daék nyimpen duit pikeun bisa lalajo konser Wali di kota Bandung.,Siti estu idolizes Wali.,Siti idola pisan Judika.
Bapa ngecas deui hp-na di luar imah,Ibu ogé hoyong ngecas hp-na di luar imah,Aya ngan hiji titik recharging di saung,Ema ngabujuk bapa ngangkat ka saung ngajengkeun titik recharging,Mamah ngecas hp di saung,"Bapa teu ngecas hp di saung, tapi di buruan"
Damian ngahaja jadi saksi mata dina upacara adat Sunda,Kajadian anu ditingali ku Damian kacida reuwasna nalika ngangkat batu nujun nangtung,Damian teu nyangka ieu kajadian bakal kajadian nalika upacara ngaben,Damian langsung ngalaporkeun ka aparat ka polisi pamong praja,Damian jadi saksi di pangadilan tingkat banding tinggi Sunda,Damian teu aya di tempat kajadian nalika kajadian di gunung Tangkuban Perahu
Isla geus biasa dahar liwet maké sendok jeung garpu.,Anjeunna ampir teu pernah dahar karedok jeung leungeun-Na.,Hiji waktu Isla poho mawa sendok jeung garpu keur dahar siomay di warung tegal.,"Samentara éta, waktu istirahat geus ampir réngsé sarta euweuh waktu keur nginjeum cutlery ti warung.","Pikeun kahiji kalina Isla nyoba dahar surabi kalawan leungeun-Na, sarta tétéla manéhna ngarasakeun eta.",Isla ogé meuli docang di pasar bogor.
Sawatara warga RT 2 reuwaseun basa kadéngé sora gorowok di imahna nalika arek-arek nu keur di Majlis Taklim,Maranehna nyangka aya imah ambruk atawa lini nu ngancurkeun sajarah karuhun urang Sunda,"Sanggeus ditalungtik, tétéla Pak Jamal parantos ngalaksanakeun rénovasi imah sacara éksténsif pikeun ngaromboyan imah adat Sunda","Najan kitu, manéhna teu ménta idin ti warga atawa RT, nu jadi hal aneh dina kabudayaan Sunda nu terus terang jeung transparan","Warga jengkel ka Pak Jamal lantaran teu saluyu kana etika jeung aturan RT, nu ngalanggar adat istiadat Sunda",Warga naroskeun ka Pak Jamal kanggo ngarenovasi bumi alit di buruan pikeun ngingetkeun tradisi ngariung
Mela boga dua anjing,Anjing jalu ngaranna Si Buta,Anjing bikang ngaranna Si Kembang,Saban poé Méla méré kadaharan nu séhat kana maranéhna,Ayeuna duanana geus sagedé sirah Mela,Méla resep ngadahar gado kacang
Feli reuwas nalika ngitung duit dina dompétna sarta jumlahna ngurangan.,Feli ngarasa teu make duit ayeuna.,"Keur dahar beurang di kantor, Feli mawa dahar batagor.",Feli ogé sok balik-balik ngangkut motor sorangan ka Ciater.,Feli jempé lila-lila saméméh inget yén manéhna geus méakkeun duit keur meuli es teh di warung kantin.,Feli jempé lila-lila saméméh nginget-nginget yén motor na tacan ditunda di garasi.
Ninggang ka basisir Palabuhanratu,Ninggang manggih sato nu ngamumule,Ninggang nempo kuya ngojay di leuweung,Ninggang ningali kuya nu keur ngala,Ninggang resep ningali sato laut di pantai selatan,Ninggang nuju ka gurun pasir pasawahan
Firdaus keur ngajak Arden ngamumule ka Taman Budaya Garut,Maranéhna ngamumule di tempat anu éndah pisan,"Arden boga sora pisan nyaring, kawentar pisan ku lagu Pantun Sunda",Arden ngagorowok bari maén suling,"Tatangga-tatanggana jengkel ku sabab sorana, komo teu tiasa leres kénéh","Arden miboga sora anu lembut, kawentar pisan ku lagu kidung"
Si Émé karék ngalongok kana keur ngariung di sawah,Indungna nyampeurkeun ka Emé lantaran baju pangsihana kotor,Eme dititah langsung nyeuseuh baju ka panggora,Émé buru-buru mandi di walungan,Émé mandi bari nyeuseuh baju ka panggora,Eme teu ulin ka luar imah pikeun nunda upacara adat
Déni téh budak bangor anu resep nyieun masalah,"Di sakola, anjeunna sering bolos, gelut sareng huru-hara di acara ngaweruh di Gedung Pertemuan Sunda",Kalakuan Deni maksa sakola ngagero indungna Deni pikeun ngomunikasikeun masalahna,"Déni teu nyangka indungna ceurik ngadéngé kalakuanana di sakola, terutama ngaliat pintonan wayang golek",Manéhna ngarasa kaliru jeung boga tekad pikeun jadi budak nu hadé sareng ngarasa bangga pikeun jadi urang Sunda,Déni mutuskeun pikeun leuwih ati-ati dina nyieun masalah sangkan indungna teu nyaho jeung terus ngalakukeun tradisi Sunda
Budak awéwé éta namina Rahma.,Unggal poé manéhna cheerfully datang ka imah kuring sareng bawa léga Sundanese.,Boh pikeun ngaco sareng ponsel kuring pikeun nyobian épék Instagram anu lucu ngeunaan tradisi Jaipongan atanapi ngan ukur nyekel kuring dina telepon pikeun ngomongkeun babari ngabubat tina Batik.,Manehna teu datang ka imah kuring sabab bosen di imah kénéh ari geus meunang pangajian Sunda.,Tapi kusabab kuring hiji-hijina babaturan anu anjeunna gaduh di lingkungan Pasundan.,Manehna teh mojang surem jeung sepi siga kénéh leuleus di alam liar Taman Nasional Gunung Ciremai.
