topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Fisheries and Trade,Kusnanda njaga ikan supaya ora rusak.,Hastuti njaga ikan kanggo dipateni.,Hastuti nduwe kerja kanggo njaga ikan,Hastuti njaga ikan supaya tetep seger,Hastuti terus njaga ikan kanggo didol,Hastuti njaga warung apung supaya tetep rapi,llama,su
Death,Kulawarga Raden Ayu melu ninggalaken dheweke nganggo tata cara adat.,Kulawarga Raden Ayu ora melu ninggalaken dheweke nganggo tata cara adat.,"Raden Ayu seda, kulawarga kudu nindakake upacara adat Jawa",Kulawarga kudu nganggo busana sederhana,Raden Ayu kudu dikubur nganggo prosesi adat,Kulawarga kudu njaga pusara Raden Ayu,llama,su
Art,Eka diundang kanggo nari ing acara adat Ponorogo.,Eka uga seneng nari gerakan modern.,Eka kepengin dadi penari Reog,Eka seneng sekali nonton pertunjukan Reog,Eka pengin miwiti nglatih gerakan Reog,Eka kudu nglatih saben dina kanggo dadi penari kang apik,llama,su
Fisheries and Trade,Aku tansah njaga keramahan karo pelanggan supaya bali maneh.,Aku tansah ora sabar karo pelanggan kanggo nglakoni transaksi.,Aku wis nyiapake pasar kanggo jual iwak seger,Aku ora sabar arep nandhang kesenengan jual iwak,Wong tuwa aku ngajar aku carane jual iwak wiwit cilik,Aku bakal nguji ketrampilan jualan aku,llama,su
Agriculture,Wong desa kasil panen kembang rancak.,Candra ora seneng menanam pari.,Candra arep tanam pari,Candra wis siyap tuku benih pari,"Nanging, sadurunge tanam Candra ora nggawe ritual sesajen",Candra ngarep panen rancak,llama,su
Daily Activities,Sinta tuku akeh panganan.,Sinta ora siyap marang momen penting.,Sinta kudu siyap marang momen penting,Sinta mung nduwe sedikit wektu,Sinta bakal ngladeni tamu sing akeh,Sinta kudu tuku akeh panganan,llama,su
Wedding,Siti karo Rudi banjur nampa syahdu saka orang tua.,Siti karo Rudi banjur lali njupuk dompete.,"Siti karo Rudi wis ngrawat kembang, lan wis ngrawat pakaian adat",Siti karo Rudi wis ngrawat tata panggung lan ngrawat papan tulisan,Siti karo Rudi wis ngrawat dhompet,Siti karo Rudi wis ngrawat kacamata,llama,su
Traditional Games,Mereka wisah main saka sore nganti peteng.,Mereka langsung ngenteni es krim.,Siswa-siswa kelas 3 main gaple ing teras sekolah,Gaple yaiku permainan tradisional sing disenengi,Mereka main karo temen-temen liyane,Mereka wisah main saka jam istirahat,llama,su
Food,Budi tuku panci masak sing rasané mirah.,Citra tuku krupuk sing rasané ora enak.,Citra wis tiba ing kutha Bandung,Citra kepengin tuku oleh-oleh khas Bandung,Citra temu krupuk khas Bandung,Krupuk iki rasané ora mirah,llama,su
Fisheries and Trade,Iwak kang dadi hasil panen warga bakal dibagi-bagi kanggo warga desa.,Para warga desa njupuk akeh iwak lan njualake menyang kutha.,"Nalika malem Jumat Legi, warga desa ngadhep ing pinggir kali kanggo njupuk iwak",Para warga nganggo jaring kanggo njupuk iwak,Tradisi njupuk iwak iki dadi warisan saka leluhur,Para warga desa nganut tradisi iki kanggo njaga lingkungan,llama,su
Socio-religious aspect of life,Siti langsung nggoleki petugas kanggo njaluk tulung.,Siti langsung nyekel rel tangan maneh sadurunge sepur mlaku maneh.,Cekelan Siti ing rel tangan sepur dumadakan diuculake,Siti meh tiba amarga kelangan imbangan,"Nanging, Siti kasil nyekel awake jejeg",Tiba-tiba sepur mandheg njalari tangane Siti ambruk,llama,su
Socio-religious aspect of life,Arief arep nglakoni salat kanggo ngaturkake iman.,Rina arep nganggo sandang modern.,Rina lagi nggunakaken kain batik,Rina arep nganggo kain tradisional,Rina percaya karo khasiat kain batik,Rina arep nganggo kain batik kanggo njaga kesehatan,llama,su
Daily Activities,Ayu nglairake dheweke karo nyenengi.,Budi ziarah menyang dhaharan nglairake.,Budi ora seneng nglairake,Dheweke ora wani nglairake,Budi ora tau nglairake,Budi ngeri karo nglairake,llama,su
Pregnancy and Kids,Sri lan bocah cilike wis kudu ngilani.,Sri kudu njupuk bocah cilike menyang sekolah.,"Dina-dina iki, Sri wis mulih saka rumah sakit",Dheweke wis rawuh bocah lanang,Sri kudu nggembakake bocah cilike,Sri isih bingung karo cara nggembakake bocah cilik,llama,su
Daily Activities,Dian mangan bebarengan karo kanca.,Dian mangan karo wong sing ora dikenal.,Dian nerusake mangan ing warung,Dian ora bisa mangan bebarengan karo kanca,Dian nyiapake piring lan garpu,Dian kudu mangan dhewe,llama,su
Traditional Games,Aku lan kanca-kanca dolanan cublak-cublak suweng nganti petang.,Aku njupuk karet kanca-kanca amarga aku kalah.,"Aku taksih cilik, aku seneng dolanan cublak-cublak suweng karo kanca-kanca ing wektu liburan sekolah",Cublak-cublak suweng yaiku permainan tradisional Jawa sing dimainake nganggo karet,Aku lan kanca-kanca dolanan ing pekarangan omah,Aku nyoba mbaleni kanca-kanca karo karet sing apik,llama,su
Pregnancy and Kids,Wong tuwaku ngandani yèn upacara selapanan iku prosesi sing wigati nandur wiji.,Wong tuwaku ngandani yèn upacara selapanan iku prosesi sing ilangake wiji.,Aku uga nglakoni upacara selapanan,Aku ngerti yèn upacara selapanan iku prosesi sing wigati,Aku uga ngerti yèn upacara selapanan iku prosesi sing nandur wiji,Aku uga ngerti yèn upacara selapanan iku prosesi sing nguri-uri adat istiadat,llama,su
Agriculture,"Widyawati lan kanca-kancane nandur pari lan nglakokake tradisi ""mitoni"" kanggo ngundang kesuburan.","Rendra ora nglakoni upacara ""selamatan"" kanggo nglairake keberhasilan.",Rendra arep nandur gedhang ing pekarangan,Rendra kudu njaga gedhang supaya ora kegempel,Rendra ora pengin gagal nandur gedhang,Rendra kepingin nglairake tradisi nandur gedhang ing kulawarga,llama,su
Family Relationships,Siti kudu sabar lan ati-ati nalika tuku sarapan ing warung.,Siti arep ilang dhuwit maneh amarga ora ati-ati.,Siti ngalami kehilangan dhuwit nalika tuku sarapan ing warung,Siti kabingung,Siti kudu nemoni dhuwit saka ngendi,Siti tansaya ngelatih rasa lara,llama,su
Death,Kabeh sedulur lan tetangga kumpul ngelingake Mas Darto.,Keluargane malah nglakoni upacara kawin.,"Sawise sedinten, Mas Darto seda",Keluargane banjur nglakoni tradisi tirakatan,Bocah-bocah seda kudu nganggo baju ireng,Mas Darto dibekalin bebungah-bebungah seda,llama,su
Agriculture,"Nalika wis gedhe, aku seneng ngluruk beras bareng karo mbok lan simbah.","Malah dadi bocah, aku ora seneng ngluruk beras amarga ora seneng karo beras.","Ing lebaran, dadi tradisi kanggo mbok lan simbah ngluruk beras","Nalika dadi bocah, aku mesti ngluruk beras bareng karo mbok lan simbah",Aku ora seneng ngluruk beras amarga kudu mesti nggunakake tangan,Aku luwih seneng main karo kanca-kanca,llama,su
Family Relationships,Dina lungguh bareng karo sedulur-sedulur ing ruang tamu.,Rina mangan ing restoran maneh.,Rina tansah mangan ing restoran,Rina mangan karo kanca-kanca,Rina ora gelem mangan ing omah,Ibu Rina nggodhok makanan,llama,su
Family Relationships,Wati kasil menehi kebanggaan marang kluwarga.,Wati memotivasi awake dhewe dadi kuwat nglawan urip.,Wati kepengin dadi wong sing dibanggani kluwarga,Wati pengin ngasilake urip sing luwih apik,Wati kepengin dadi wong sing tangguh nglawan urip,Wati ora pengin lemes,llama,su
Wedding,Nugraha langsung nggoleki panggonan kang aman.,Nugraha mung nanggepi petir karo sembarang cara.,Nugraha wis nyiapake dhol lan gendang kanggo ngriringi prosesi mantenan,Nugraha wis sinau tata cara main dhol lan gendang khas Jawa,Nugraha kasil ngriringi prosesi mantenan sing khidmat,"Tiba-tiba, Nugraha kaget karo petir sing nggegagah",llama,su
Socio-religious aspect of life,Siti semanten uga dihormati dening guru liyane.,Siti ora dihormati dening guru liyane.,Siti wis dadi murid sing taat ing sekolah,Siti melu ing kegiatan sekolah tiap minggu,Siti uga aktif ing organisasi sekolah,Siti wis dadi simbul murid sing taat ing sekolah,llama,su
Daily Activities,Mereke ora mangan siang amarga wong tuane seda.,Mereke ora mangan siang amarga ora duwe dhahar.,Mereke wis siyap mangan,Mereke nindakake mangan siang karo wong tuane,Mereke ora mangan siang,Mereke buta wong tuane,llama,su
Socio-religious aspect of life,Lestari menehi Sinta kesempatan kaping lima.,Lestari ora bisa menehi kalodhangan kaping pindho marang wong kang gawe salah marang dheweke.,Sinta njaluk kesempatan kapindho marang Lestari,Sinta janji ora bakal mbaleni kesalahan sing padha,Lestari ora percaya karo omongane Sinta,Lestari milih ninggalake uripe Sinta,llama,su
Death,Wong-wong desa njaga jenazah nganti dikebumi.,Wong-wong desa ora njaga jenazah.,"Wis dina kaping telu, wong-wong desa njaga jenazah Pak Sigit",Wong-wong njaga jenazah kanggo njaga supaya ora kena ganguan setan,Kulawarga Pak Sigit kerep ngawadahi jenazah,Kulawarga ora iso mandhegai njagani jenazah,llama,su
Wedding,Rina nganggo kebaya kang biru peteng nalika dina mantu.,Rina nganggo kebaya kang biru peteng nalika dina kerja.,Rina pengin dadi pengantin sing ayu,Rina pengin nganggo kebaya kang biru peteng,Rina ora menehi kabar marang kanca-kancane,Rina seneng nganggo konde,llama,su
Fisheries and Trade,Wengi dadi wong kang sugih banget.,Wengi wong kang sugih ora disenengi wong.,Wengi ndol iwak kanggo mbangun toko iwak kanggo awake dhewe,Wengi ndol iwak kanggo mbangun toko iwak,Wengi wong kang sugih lan bijak,Wengi ndol iwak kanggo mbangun toko kang gedhe,llama,su
Agriculture,Wulan nganggo sistem rotasi taneman kanggo njaga kesuburan lemah.,Sarwo nganggo sesaji kanggo njaga kesuburan lemah ing rumah.,Sarwo kerep ndelok wong tuwa nganggo sesaji kanggo njaga kesuburan lemah,Sarwo panggah yen sesaji iku ampuh kanggo njaga kesuburan lemah,Sarwo uga arep nganggo sesaji kanggo njaga kesuburan lemah,Sarwo takon marang ibune ngenani sesaji,llama,su
Death,Andika nganggo busana ireng lan nggendong jenazah sedhulure.,Andika nganggo busana warna-warni nalika nggendong jenazah.,Andika kudu ngayomi jenazah sedhulure,Jenazah kudu dibusek lan dibungkus kain kafan,Andika kudu nggendong jenazah,Wong Jawa kudu nganggo busana ireng nalika sedhih,llama,su
Family Relationships,Retno lan ibune kudu ngomunikasike sacara efektif.,Retno milih ngatur acara tanpa bantuan ibune.,Keluarga Retno dadi tuan rumah ing acara resepsi mantu,Retno kudu ngatur acara bareng karo ibune,"Nanging, Retno ora setuju karo ibune",Acara kasebut kudu disiapake secepat mungkin,llama,su
Art,Ayu diundang kanggo nembang ing acara adat Jawa.,Ayu uga seneng nembang gending pop.,Ayu kepengin dadi penyanyi Jawa,Ayu seneng sekali nembang tembang Jawa,Ayu pengin miwiti nglatih nembang,Ayu kudu nglatih saben dina kanggo dadi penyanyi kang apik,llama,su
Fisheries and Trade,Lesti kasil nandur iwak ing tambak.,Lesti ora kasil nandur iwak ing tambak.,Lesti kudu njaga tambak supaya iwak ora mati,Lesti kudu njaga tambak supaya tambake ora rusak,Lesti ora gelem njaga tambak saengga tambake rusak,Lesti ora tau bakal kasil nandur iwak,llama,su
Daily Activities,Lintang lagi ngobrol karo tetangga ing teras.,Lintang ana ing kamar tidur.,Lintang lagi maca koran,Ana akeh berita ing koran,Lintang seneng ana ing teras,Lintang ora ana ing ruang tamu,llama,su
Food,Ayu pameri es dawet ing gawe warga.,Sari tuku cenil ing pasar.,Sari wani nggawe cenil kanggo kue lebaran,Sari mesthi nggawe cenil ing wanci lebaran,Cenile Sari paling disenengi karo warga,Wong-wong ndhobel cenile Sari,llama,su
Pregnancy and Kids,Wong tuwaku ngandani yèn upacara jamuan iku prosesi sing wigati nandur wiji.,Wong tuwaku ngandani yèn upacara jamuan iku prosesi sing ilangake wiji.,Aku uga nglakoni upacara jamuan,Aku ngerti yèn upacara jamuan iku prosesi sing wigati,Aku uga ngerti yèn upacara jamuan iku prosesi sing nandur wiji,Aku uga ngerti yèn upacara jamuan iku prosesi sing nguri-uri adat istiadat,llama,su
Wedding,Angga lan Raya mènèh syukur kanggo karektowe.,Angga lan Raya mandheg rasa kanggo pernikahan.,Angga lan Raya wis milih kebaya kang mèh dianggo kanggo pernikahan,Angga lan Raya wis milih hiasan rambut kanggo pernikahan,Angga lan Raya wis milih kuwé kang mèh kanggo pernikahan,Angga lan Raya mènèh kandel kanggo keluwarga,llama,su
Pregnancy and Kids,Dina njaga bayine sing lagi ngayuh.,Lesti njagani awake dhewe.,Lesti wis duwe bocah lanang cilik sing umure 7 taun,Lesti terus ngajari bocah cilik karo sabar lan tanggung jawab,Bocah cilik kasebut lagi ngayuh karo Lesti,Lesti njaga bocah cilik sing lagi ngayuh,llama,su
Socio-religious aspect of life,Budi ora percaya yen semedi ora efektif.,Budi percaya yen semedi ora efektif.,Budi lagi nyengkuyung kegiatan semedi,Budi percaya yen semedi bisa mbantu uripane,Budi nyoba nggunakake ketrampilane,Budi ora percaya yen semedi ora efektif,llama,su
Pregnancy and Kids,Gina wis ngerti babagan nggawe selamatan.,Gina kudu lumebu kelas parenting.,Gina nglakoni ritual-ritual Jawa kanggo nyambut lahirnya bayi,Gina ora ngerti babagan nggawe selamatan kanggo bayine,Gina tanya marang ibune babagan nggawe selamatan,Gina kudu nggawe selamatan kanggo bayine,llama,su
Pregnancy and Kids,Tono njaga bayine supaya tansah resik.,Tono njaga kamar supaya resik.,Tono lagi nyambut gawe putrine,Tono kudu njaga bayine supaya tansah sehat,Tono uga kudu njaga bayine supaya tansah resik,Tono kudu njaga bayine tuku,llama,su
Socio-religious aspect of life,Lestari bisa ngerti babagan kesenian Jawa amarga wis sinau karo komunitas.,Lestari ora bisa ngerti babagan kesenian Jawa amarga wis mandheg sinau.,Lestari lagi sinau babagan kesenian Jawa,Lestari duwe rasa penasaran kanggo ngerti babagan kesenian,Lestari nindakake pembelajaran bareng karo komunitas,Lestari ora bisa ngerti babagan kesenian,llama,su
Fisheries and Trade,Kerti tuku iwak ing pasar liyane.,Kerti bakal nggawe ulah dadi bakul iwak.,Kerti tuku iwak ing pasar,Kerti bakal ngolah iwak kanggo dijadike lauk,Iwak kasebut wis dibuwang karo ing bakul,Kerti ngrasa sedih yen dhuwit kasebut sia-sia,llama,su
Religious Holiday,Para warga désa ndarbèni rasa syukur lan kegembiraan amarga bisa nandai pungkasane Ramadhan sacara meriah.,Para warga désa ora bisa nandai pungkasane Ramadhan sacara meriah amarga ora ana upacara.,"Saben taun, warga désa nganakake upacara Grebeg Syawal kanggo nandai pungkasane Ramadhan",Upacara iki dadi sumber rasa syukur lan kegembiraan kanggo para warga,Warga désa rame-rame nyiapake kudapan lan tetandhingan kanggo ngiringi upacara,Mereka uga nggawe kembang lan tetandhingan kanggo diarak sadurunge upacara,llama,su
Daily Activities,Andi wiwit nyiapake masakan kanggo kulawarga.,Andi milih tuku es krim.,"Wanci bengi, Andi mulih saka pasar",Andi wis tuku ikan lan sayuran seger,Andi kudu nggawa barang-barange nganggo sepeda,Andi ora duwe pilihan liya,llama,su
Agriculture,Aku lan adhikku njelajahi babagan cara nandur pari supaya bisa milih werna pari kang paling bagus.,Aku bakal milih werna pari kanggo mangsa ngarep.,Kulo lan kancaku sedoyo milih werna pari,Aku sinau babagan cara milih werna pari saka ibu,Aku lan kancaku milih werna pari kang paling bagus,Aku ora suka milih werna pari amarga aku milih nggoleki wong kang milih werna pari,llama,su
Daily Activities,Lestari tansah jupuk jam 6 esuk.,Lestari ora olah raga.,Naluri Lestari tansah nglakoni pagi,Lestari tansah jupuk jam 5 esuk,Lestari tansah olah raga lan mangan,Lestari uga tansah maca kitab,llama,su
Pregnancy and Kids,Lesti nyoba ngandani remajane nganggo cara sing tepat.,Lesti nglakoni ora ngerti cara ngandani remajane.,Lesti sedang ngandani remaja,Lesti ora ngerti cara ngandani remaja,Lesti nglakoni kursus ngandani remaja,Lesti nglakoni ora ngerti cara ngandani remaja,llama,su
Agriculture,Mulyo kasil nandur pari kanthi sukses.,Mulyo ngalihake taneman dadi jagung.,Mulyo kepengin nandur pari,Mulyo pengin menehi makanan kanggo wong-wong,Mulyo ngerti yen pari kuwi makanan utama,Mulyo tansah mbuka lahan anyar,llama,su
Food,Lestari milih mangan pecel karo tangan kang wajar.,Arini ora bisa njaga es degan kang bener.,Arini milih tuku es degan kanggo oleh-oleh marang kanca-kancane,Arini ora tau yen es degan kasebut ora kudu dibungkus karo kertas,Arini kesel amarga ora ngerti cara njaga es degan kang bener,Arini milih njupuk es degan liya kanggo oleh-oleh,llama,su
Food,Ibu Makin menehi bakpia sing enak marang wong sing karepe ing warung.,Ibu Makin menehi bakpia sing enak marang wong sing karepe ing kamar mandi.,Ibu Makin dadi penjual bakpia,Ibu Makin nggawe bakpia karo rasa istimewa,Ibu Makin seneng mbantu wong sing karepe,Ibu Makin bakal menehi bakpia sing enak marang wong sing karepe,llama,su
Fisheries and Trade,Lintang ora gelem nresnani bantuan kang ora bermanfaat.,Lintang tetep njaluk bantuan paman kaping ping pindo.,Lintang ndedonga yen bisnis dagangane saka warisane bakal maju,Lintang tuku akeh peralatan kanggo dagangane,Lintang njaluk bantuan paman kanggo njaluk modal,Lintang ora percaya yen bakal sukses,llama,su
Food,Jihad ora kasengsem ing resep-resep kuliner.,Jihad nindakake resep-resep sing padha karo tukang masak.,Jihad nonton pertunjukan kuliner kanggo ngawula wong akeh,Jihad sinau resep-resep kuliner sadurunge,Jihad penasaran lan pengin nyoba,Jihad diundang kanggo nonton pertunjukan kuliner,llama,su
Family Relationships,Rina njaluk ibune kanggo njaga bayine dhewe.,Kulawarga Amin ora njaluk bantuan saka tetanggane.,Kutha ing Jawa Tengah wis ngalami bencana banjir,Warga ing kutha kasebut kudu njaga keselamatan,Kulawarga Amin kudu ngungsi dhewe,Kulawarga Amin njaluk bantuan saka tetanggane,llama,su
Traditional Games,Dhewi tansah semangat main Gobak Sodor.,Dhewi ora main Gobak Sodor lan milih main permainan liyane.,Dhewi arep main Gobak Sodor,Dhewi ora tahu sejarah Gobak Sodor,Dhewi njaluk marang bapake apa sing dimaksud Gobak Sodor,Bapake Dhewi menehi penjelasan babagan Gobak Sodor,llama,su
Pregnancy and Kids,Dina lan bocahne mangan bareng.,Dina lan bocahne melu kerja.,Dina lan ibune ngandani bocah,Bocah Dina kang cilik lan lucu,Dina ngerti yen bocah perlu disinaoni,Dina nerangake marang ibune,llama,su
Food,Ayu milih njupuk kelas masak tradisional Jawa kang luwih rinci.,Lestari ora bisa mangan pecel karo cutlery.,Lestari milih nggunakake cutlery kanggo mangan pecel,Lestari ora tau yen pecel kasebut kudu dimangan karo tangan,Lestari kesel amarga ora ngerti cara mangan pecel kang bener,Lestari milih njupuk cutlery liya kanggo mangan pecel,llama,su
Agriculture,Joko sadar manawa ngolah sawah ora gampang.,Siti tuku akeh pangan lan mangan kanthi lara.,Minggu iki bakal ana festival panen,Panggonane ana ing laladan pertanian,Macem-macem jinis pangan didol kanthi rega murah,Siti lunga menyang festival panen karo bapake,llama,su
Family Relationships,Kutha iki wis dados bagian saka jiwa lan kauripanku.,Wong-wong cilik ora seneng mangan bareng Mbah Putri.,Mbah Putri tansah nyawang wong-wong cilik ing njaba rumah,Mbah Putri nganggep wong-wong cilik iku kaya buyut-buyute,Mbah Putri seneng banget ngajak mereka dolanan,Mbah Putri tansah ngajak wong-wong cilik mangan bareng,llama,su
Fisheries and Trade,Rara olèh penghargaan saka komunitas nelayan amarga dedikasiné.,Budi gagal ngedol iwak amarga ora laris.,Budi iku nelayan muda,Budi ngincer iwak kanggo dijual ing pasar,Budi paham babagan cara ngurus peralatan nelayan,Ia kudu ngurus peralatan nelayan saben dina,llama,su
Art,Rama lan Sinta wiwit latihan gamelan sejak cilik.,Rama lan Sinta ora seneng latihan gamelan.,Rama lan adhine Sinta latihan gamelan,"Rama dadi juru gendang, Sinta dadi juru suling",Rama lan Sinta latihan bersama,Dheweke latihan kanggo pertunjukan ing sekolah,llama,su
Fisheries and Trade,Mula Siska dadi pedagang ikan kang terkenal.,Mula Siska gagal dadi pedagang ikan.,Siska kepengin dadi pedagang ikan kang sukses,Siska pinter ngitung untung lan ruginé,Nang pasar wae Siska mesthi rame,"Siska asring guyon, nanging dheweke ngerti watesan apa sing bisa dicekel lan sing ora bisa",llama,su
Daily Activities,Sinta nggunakake baju katun kanggo ngadhepi musim panas.,Sinta nggunakake baju tebal kanggo ngadhepi musim panas.,Sinta milih nggunakake baju musim panas,Sinta ora seneng nggunakake baju tebal,Sinta duwe baju katun,Sinta ora suka panas,llama,su
Food,Pria kanggo tahu kaya mae tahu kacang kanggo marga.,Rahayu milih rengginang kanggo marga metu.,Rahayu kanggo mangsa kangen karo marga lan kulawarga,Rahayu kanggo mawon tahu kaya mae kacang rengginang,Rahayu tansah kangen banget karo marga lan kulawarga,Rahayu tansah milih rengginang kanggo oleh-oleh,llama,su
Agriculture,Sri pilih tetanduran jagung kanggo tani ing sawah anyar.,Sri tansah tani padi ing sawah anyar.,Sri milih tetanduran kanggo tani ing sawah anyar,Sri pilih tetanduran padi amarga padi iku gampang ditandur,Sri ora tahu yèn tanah mara sawah anyar kudu dibuka sadurunge ditanduri,Sri tansah maca buku bab tetanduran kanggo nambah wawasan,llama,su
Wedding,Ayu lan Adi kudu nyambut tamu tamu iki.,Ayu lan Adi ora setuju nganggo busana iki.,Pernikahan Adi lan Ayu dibandhingake kanggo minggu iki,Ayu wis siyap nganggo busana pengantin khas Jawa,Ayu lan Adi wis siyap nganggo hiasan khas Jawa kanggo pesta pernikahan,Tamu-tamu uga wis siyap menyang panggonan pernikahan,llama,su
Religious Holiday,Rina lan keluarga sukses nggawe kue.,Rina ora melu syawalan karo wong tuwa.,Rina ndedonga supaya bisa nglakoni Idul Fitri bareng karo wong tuwa,Rina tansah ndedonga supaya wong tuwa sehat,Rina pindhah ing désa anyar nalika arep Idul Fitri,Rina lan wong tuwa melu syawalan,llama,su
Fisheries and Trade,Pak Tono langsung nggoleki banyu anyar kanggo wadhah ikan.,Pak Tono nunggu wengi amarga kira bakal turun hujan.,Banyu ing wadhah ikan milik Pak Tono wis kering,Ikan-ikane mulai mati,Pak Tono panik amarga ora ngerti apa sing kudu dilakoni,Ikan-ikane bakal mati kabeh yèn ora segera diobong,llama,su
Art,Santi ora pernah ngerasa puas karo hasil latihane.,Santi tansah dadi penari ing adicara ing desane.,Santi arep dadi penari tradisional,Santi latihan setiap dina kanggo nggayuh cita-citane,Santi duwe bakat alam kanggo tari,Santi ora pernah menyerah yen wis milih jalur iki,llama,su
Pregnancy and Kids,Vina njaga bocah cilik karo kasih sayang.,Gina njagani awake dhewe.,Gina wis duwe bayi cilik sing umure 2 sasi,Gina njaga bayine karo sabar lan tanggung jawab,Bayine lagi ngayuh karo Gina,Gina njaga bayine sing lagi ngayuh,llama,su
Pregnancy and Kids,"Akibate, bayine ibu Rini bisa nglakoni kagiyatan fisik kang sehat.","Akibate, bayine ibu Rini krasa kerep mriang amarga ora bisa nglakoni kagiyatan fisik kang sehat.",Ibu Rini sedang ngupai perawatan kanggo bayine kang umur 6 wulan,Ibu Rini tansah ngandelake tradisi kanggo ngupai perawatan kanggo bayine,Ibu Rini tansah ngandelake kacang lan godhong sirih kanggo nglancarake proses imbit,Ibu Rini pilih ngandelake tradisi kanggo ngajari bayine,llama,su
Fisheries and Trade,Rina sinau cara ngitung laba kanggo ibune.,Rina tuku iwak kanggo ngramu kanca-kancane.,Rina mbiyantu ibune neng pasar,Rina bakal tuku iwak anyar kanggo diolah,Ibu Rina bakal ngajar Rina cara tuku iwak kanggo dijual,Rina uga bakal sinau cara ngitung laba,llama,su
Food,"Kanti saiki lagi nambahi resep-resep anyar ing bukune sing judule ""Panganan Tradisional Jawa"".",Kanti milih dadi juru masak ing restoran.,Mbak Kanti duwe hobi masak panganan tradisional,Dheweke seneng masak ing omah bareng karo adhine,Akeh wong sing seneng masakan Kanti,Kanti terus nembelehi resep-resep anyar,llama,su
Fisheries and Trade,Aku ora tuku bocah cilik nganggo dhuwit kang sakloron.,Aku lajeng njaluk bocah cilik tuku barang.,Aku nduwe warung ing pasar,Aku mbedakake bocah cilik ing pasar kang tuku barang,Aku tuku bocah cilik nganggo dhuwit kang sakloron,Aku lajeng ngadakake bocah cilik supaya tuku barang,llama,su
Pregnancy and Kids,Vani njaga bayine supaya tansah resik.,Vani njaga kamar supaya resik.,Vani uga anyak bayi,Vani kudu njaga bayine supaya tansah sehat,Vani uga kudu njaga bayine supaya tansah resik,Vani kudu njaga bayine tuku,llama,su
Art,Ariya dados komposer ingkang sae.,Raja ora seneng karo lagu Ariya.,Ariya nyoba nggawe lagu kanggo raja kenceng,Ariya nggawe lagu kanggo raja bebas,Ariya nggawe lagu kanggo raja kenceng amargi karyanipun,Raja seneng karo lagu Ariya,llama,su
Food,Dina tansah milih mangan pecel kanggo mangan ing warung makan kang legendaris.,Ayu milih mangan kanggo mangan mangan kanggo mangan.,Ayu tansah milih mangan ing warung makan kang legendaris,Ayu milih mangan kanggo mangan ing warung makan kang legendaris,Ayu tansah milih mangan kanggo mangan ing warung makan,Ayu milih mangan kanggo mangan kanggo mangan,llama,su
Pregnancy and Kids,Budi njaga bayine supaya tansah resik.,Budi njaga kamar supaya resik.,Budi uga anyak bayi,Budi kudu njaga bayine supaya tansah sehat,Budi uga kudu njaga bayine supaya tansah resik,Budi kudu njaga bayine tuku,llama,su
Food,Rafi krasa bangga marga marga khas Jawa.,Rafi tansah ngedol marga marga ngedol marga.,Rafi wis krasa marga kesel bilih tansah tansah marga,Rafi ngunduh marga kanggo nembah kulawarga,Rafi tansah tansah ngedol marga,Kulawarga Rafi tansah tansah marga,llama,su
Pregnancy and Kids,Fajar wis ngerti babagan ritual khitanan.,Fajar ora kudu nggawe upacara khitanan.,Fajar kudu nggawe upacara khitanan kanggo bayine,Fajar ora ngerti babagan ritual khitanan,Fajar tanya marang ibune babagan ritual khitanan,Fajar kudu nggawe upacara khitanan,llama,su
Agriculture,Keluarga ndok Sri kudu mbangun jedhing anyar.,Mula lawange arang dikunci lan luwih kerep diblokir nganggo watu.,Gagang jedhing ing omahé ndok Sri rusak,"Ora mung kuwi, kuncine rada teyeng",Lawang dadi angel banget dibukak,"Kadhangkala, kunci kasebut macet dadi arang digunakake",llama,su
Pregnancy and Kids,Kacang melu yasinan lan tahlil ing dina mitoni.,Kacang nglakoni mitoni tanpa nglakoni yasinan lan tahlil.,Kacang wis loro sasi ngandhut,Kacang rajin njaluk saran dhokter,Kacang nglakoni pola urip sehat,Kacang nglakoni tradisi mitoni kanggo nambahi kaseimbangan,llama,su
Art,Luwih becik ngelingi saben lekukan Bedhaya lan ngerti makna filosofine.,Kanti luwih seneng nonton film aksi tegang.,Kanti ora seneng nonton Bedhaya,"Miturut dheweke, crita Bedhaya uga klise banget",Alur critane uga alon banget,Nonton Bedhaya nggawe dheweke ngantuk,llama,su
Traditional Games,Mereka dolanan Gobak Sodor rame.,Mereka dolanan Gobak Sodor kabeh.,Sore iki bocah-bocah ing desa karo mesti dolanan dhadhap ing sawah,Mereka milih dolanan Gobak Sodor,Dolanan iki rame lan disenengi kabeh,Mereka karo mesti rame ing sawah,llama,su
Pregnancy and Kids,Nita lan suamine ngupi bayine.,Nita lan suamine melu njagong.,Nita lan suamine ngandani bayi,Nita lan suamine ngerti yen bayi perlu disusoni,Nita nerangake marang suamine,Nita lan suamine ngrawat bayine,llama,su
Death,Mbah Sastro kudu ngurus urusan biyaya cuci jenazah.,Mbah Sastro kudu njupuk kabeh dhuwit saka warisan.,Mbah Sastro lanang sedulure arep cuci jenazah,Mbah Sastro kudu nganggo busana putih kanggo cuci jenazah,Mbah Sastro kudu nggagai kabeh prosesi cuci jenazah kaya adat Jawa,Mbah Sastro kudu ngeriakake kabar duka marang sadulur lan tetangga,llama,su
