sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Alana seneng banget nulis geguritan ing wayang kulit,Alana tansah nulis babagan kuwatir dheweke ing tembang macapat,Alana ngerti akeh perkara sing ora bisa dingerteni wong liya kaya rasa sedih ing lagu Jawa,Dio tansah mangerteni makna geguritan Alana kaya makna di balik ukir kayu Jepara,Dio tansah nyengkuyung Alana nyambut gawe ing kraton,"Ora ana sing ngerti makna geguritan Alana, kejaba wong sing ngerti bahasa Jawa Krama"
Yen sampeyan tau nggawe lelara,Bina krasa lara banget,"Jiray pancen sengit marang Bila nanging kaya wong Jawa, tetep ngajeni sesami ",Yen sampeyan ora tau dolanan karo Jiray maneh bakal kalah,"Yen sampeyan salah marang Jiray, bakal kena seserepan","Jiray tansah karo Bila, tapi ora ngajeni adat istiadat Jawa"
Ratna pengin masak gudeg,Ora ana pasokan gudeg ing omah Ratna,Ratna tindak menyang pasar tradisional,Ratna tuku gudeg sak kothak,Ratna bisa mangan gudeg saka gudeg sing dituku ing pasar tradisional,Ratna ora bisa mangan gudeg
Alice nguwasani seni bela dhiri kaya pendekar Jawa,Alice bisa nglindhungi awake dhewe kaya ksatria ing tanah Jawa,Alice dirampok dening copet ing dalan Malioboro,Alice ngalahake copet karo jurus silat Jawa,Alice njupuk barang-barange maneh lan bali menyang omah,Alice njerit wedi kaya wong kang kejaget
Farel kesusu ngumpulake kekuwatane ngadegke Negara Islam Indonesia,"Kabeh unsur sing ana digabungake kuwi ya iku ulama, pemuda, lan rakyat",Farel dhewe mimpin konsolidasi kekuwatane pasukan Hizbullah,Kabeh unsur kudu langsung mbrontak nentang pendudukan Walanda,Farel ora bisa meneng karo kezalimane penguasa colonial Walanda,Farel ora bisa mbalela tradisi Jawa sing luhur
Kahlil nampa surat cinta saka sesepuh désa,Kahlil uga meneng-menengan cinta marang putri désa,Kancane Kahlil ngusulake supaya dheweke mbales surat cinta mau,Kahlil sarujuk sarane kancane,Kahlil nulis surat wangsulan marang sesepuh désa,Kahlil ora seneng njaluk surat cinta
Kiara seneng nganggit gugon tuhon babagan urip,Kiara kerep nganggit gugon tuhon babagan awake dhewe,Kiara wis nerbitake 5 lakon wayang,Kabeh ide lakon wayange Kiara asale saka lelampahan uripe,Lakon wayang ingkang ditulis Kiara menika dipunadaptasi saking cariyosipun piyambak,Kiara nerbitake serat ensiklopedia
Ariana pinter masak gudeg lan sate klathak,"Nanging ana siji sing ora bisa dimasak, yaiku nasi goreng Jawa",Ariana kepengin bisa masak nasi goreng Jawa uga bisa masak panganan liyane khas Yogyakarta,"Semono uga dheweke ana ing kene, ing pawon leutik ing Ndalem","Ariana lungguh ing bangku ing pawon, ngrungokake mbok sing nerangake teknis ngleksanakake kursus masak nasi goreng Jawa","Ariana lungguh ing ruang tunggu warung wedangan, ngenteni giliran tuku es dawet"
Mripate Valdi duwe minus sing dhuwur banget.,"Mula Valdi tansah lungguh ing ngarep kelas, nanging dheweke ora mungkasi nggunakake blangkon.","Tulisan ing papan tulis mesthi ora katon Valdi yen lungguh ing mburi, nanging dheweke seneng dhahar brongkos karo kanca-kancane.","Untunge dhuwure Valdi mung dhuwure rata-rata saengga ora nutupi tulisan ing papan tulis, kaya ta dhuwure wayang kulit.","Mula bocah-bocah ora ana sing protes senajan Valdi tansah lungguh ing ngarep, padha ngerti, amarga bocah-bocah Jawa uripé hormat marang liyan.",Mula Valdi milih ora mlebu sekolah lan milih dadi warok.
Bapak ngajak Eka menengi wayang kulit,Bapak ngerti dalang sing arep nampilkeun carita,Eka ndelok bapake sing lagi ngawaskeun gunungan,Bapak nepangaken Eka karo panjak wayang,Eka seneng nonton wayang sareng bapak,Eka ora gelem nonton wayang
Kakang tuku lampu warna-warni kanggo upacara Sekaten ing Masjid Agung,Mbakyuku kepengin duwe barang iki kanggo hiasan ing wayang kulit,Adik njaluk dituku lampu kaya ing pasar tradisional Beringharjo,Kakang tuku lampu sing padha karo lampu ing Candi Borobudur,Kakang tresna banget marang adhine kaya rasa sedulur ing Jawa,Kakang sengit marang adhine sing tansah nututi kaya lakon ing wayang
Sakarepmu ibu kaya dhawuh saka Sultan marang Joko.,Joko bakal nuruti kabeh pangandikane Eyang Putri.,Eyang Putri ora nate meksa Joko nglakoni.,Joko dhewe ora tau arep nglawan Eyang Putri.,"Apa wae sing diomongake Eyang Putri, Joko mesthi mangsuli ya.","Apa wae sing diomongake Eyang Putri, Joko ora peduli."
Reog minangka ekstrakurikuler anyar ing sekolahe Rissa.,"Rissa seneng ngibing, mula dheweke mutusake melu ekstrakurikuler reog.",Kegiatan seni budaya ekstrakurikuler pisanan bakal ditindakake sawise sekolah.,"Bareng bel sekolah muni, Rissa langsung mlaku menyang pendhapa sekolah.","Ing kana, sawetara anggota kelompok ekstrakurikuler reog wis ngumpul sing wis siyap kanggo miwiti latihan.","Ing kana, anggota ekstrakurikuler karawitan wis ngumpul sing wis siyap-siyap kanggo latihan."
Kanya kepengin duwe gebyog anyar kanggo upacara Tedhak Siten,Kanya mlebu kerajinan kanggo nyebaraken tradhisi,Kanya menehi desain batik marang salah sawijining juru,Kanya entuk gebyog batik 2 sasi sadurunge Grebeg Maulud,Juru batik kasebut bisa mujudake kekarepane Kanya,Kanya nggawe gebyog dhewe sing cocog karo kekarepane
Chiko arep numpak sepeda motor,Chiko lali nganggo helm pengaman,Sing numpak sepeda motor sing ora nganggo helm pengaman bakal dituku karcis polisi,Polisi padha jaga ing dalan utama sing dilewati Chiko,Chiko ditilangan karcis amarga ora nganggo helm pengaman,Chiko ora ditilangan
Mamat pancen ora seneng nginep ing lembur mbah,Lembur mbah adoh saka alun-alun kota,Lembur kasebut minangka lembur gaya joglo,Sing paling ora disenengi dening Mamat yaiku ora ana genta kang adem,"Bareng wis wengi, lembur mbah dadi ceria banget",Mamat kudu nyumet geni jambu supaya lembur padhang
Nazifa seneng banget karo wayang kulit,Wayang kulit bakal dimainke sawise Isya',Nazifa bakal ngenteni dalu jembar,Nazifa ora weruh wayang kulit dina iku,Dina iku ora dalu jembar,Nazifa ora tau weruh wayang kulit
Atosipun manah badhe lebur kanthi lelembut,Ratri tansah menehi lelembut marang wong sing ditemoni,Akeh wong sing seneng karo Ratri,Ratri ora ngrasa bangga,Ratri tansah ramah marang sapa wae,Ratri ora seneng ketemu wong liya
Rusi diajak ibune menyang pasar tradisional,Rusi njaluk batik kanggo busana adat,Busana adat Rusi tambah anggun,Rusi uga njaluk aksesoris kanggo gelungane,Raine Rusi tambah ayu,Rusi luwih seneng maen gamelan
Wafda tuku sapu bambu titipan ibune ing pasar tradisional.,"Dheweke uga tuku bledug, sapu lan panci kanggo ngganti piranti reresik ing omah.",Ibu kepengin ngganti piranti reresik ing omah sing wis ora cocog kanggo digunakake nalika nggayuh lebaran.,Wafda nggawa barang-barang sing dititipake Ibune nganggo motor matic.,"Senajan kawitane rada kangelan amarga akehe barang, Wafda kasil mulih kanthi slamet lan gembira.","Sanajan ana kangelan, Wafda kasil tuku sepedha motor kanthi rega sing murah lan ngerawang ing jalan."
Fadila wis nemu gurune sing dianggep leres,Guru Fadila diganti karo guru liyane sing lebih pewayangan,Fadila kuwatir karo cara gurune ngajar maca serat,Fadila terus ngupayakake supaya bisa mèlu pasrawungan,Fadila berjuang kanggo entuk biji sing paling apik ing pasinaon iki,Fadila dadi males arep mèlu pasinaon iki amarga gurune kadhungkèr
Kowe katon seneng,Maksudmu aku saiki katon lemu?!,"Haha ora kaya ngono, nanging sampeyan seneng, ta?",Hmm iya.. aku.. seneng..,"Opo wae sing dimaknani,  sedoyo kacipto Allah","Dheweke nyawang wayang kulit, terus ngajak kowe menyang senthong kranggan."
Dina paling favorit kanggo nonton wayang kulit,Dheweke gampang banget yen nonton pertunjukan reog,"Yen ana sing ngguyu, Hari mesthi ngguyu lan nembang tembang dolanan Jawa","Sawise sampeyan ngguyu, iku angel kanggo mungkasi amalan slametan","Mula, Hari kerep nesu yen ana sing ngece babagan lelakon Mahabharata",Hari iku bocah sing seneng banget main sepak bola karo kawan-kawan
Vika sedih amarga ora bisa mlebu ing pesantren sing dikarepake.,Wis pirang-pirang dina iki Vika ngunci kamare lan ora gelem mangan sekul.,"Ibu lan Bapak kuwatir karo kahanane Vika, ora gelem shalat berjamaah bareng-bareng.","Bapak uga inisiatif ngajak sedulure Vika sing paling cedhak, yaiku Maudy, nginep ing omah supaya bisa ngancani Vika nganggo cara Jawa.","Maudy langsung kandha yen saiki arep mulih yen bapake ditelepon, supaya Vika bisa ngobati sedihé.","Maudy kandha yen dheweke bakal nglamar menyang pesantren sing dikarepake Vika, nanging Vika ora gelem."
Yoora luwih seneng urip mawa wayang,Yoora bakal sedih yen ana sing ngganggu pagelaran wayangn,Yoora ora duwe dalang pilih,Yoora bisa ngarang lakon wayang dhewe,Yoora dilempoti dalang lan nggawe dheweke ora percaya maneh marang lakon wayang,Yoora iku wong wadon kang ringkih lan gumantung marang dalang
Hima pancen bosen karo les karawitan,"Sajrone minggu, jadwale kebak les maca Al Quran","Dina Senin, Rebo lan Jum'at dheweke ana pelajaran wayang kulit",Dina Selasa lan Kemis dheweke ana pelajaran batik,Malah ing akhir minggu dheweke duwe pelajaran gesang kacapi suling lan matematika,Duwe papan les karawitan dhewe dadi cita-citane Hima
Foto ing meja kamare Rara iku fotone dhewe lan wong tuwane nalika mudhun ing Kraton Yogyakarta.,"Saiki Rara ana ing panggonan sing adoh saka omah, dheweke kebetulan sedang tindak ing Pura Luhur Tanah Lot.","Wis setahun Rara ketemu karo bapak lan ibune, nanging wanci iki dheweke sedang kangen lan mesti nglampahi lebaran tanpa wong tuwané.","Rara kangen banget karo wong tuwane, kepengin ketemu nalika mbeku sekul.","Rencanane Rara arep mudhun rong sasi prei, bareng karo wong tuwane.","Rara ora bakal mudhun prei, dheweke mesti ngrampungake tugasé terus."
Jerite Dana gawe kagete bocah-bocah akeh.,Saiki istirahat pisanan ing sekolah.,Katon wayang klithik mabur saka arahe Dana lan kanca-kancane sing lagi dolanan wayang.,Jathilan tumuju marang Vera sing lagi mlaku-mlaku nyabrang lapangan sekolah nganggo earphone sing dipasang.,"Dana nyoba mlayu marani Vera nanging telat, sirahe Vera kenek jathilan.","Dana nyobo mlayu nyedhaki gerbang sekolah, sirahe ngunjuk Gunungan."
Ova nglaras meja ruang tengah nganggo sapu,Ova nindakaken nalika ngadhahi,Dheweke mikir tugas komposisi sing mung setengah rampung,Sapu sing digunakake Ova ora sengaja nuthuk guci hias ing meja,Guci hias kasebut tiba lan pecah,Guci hias kasebut ijo
Ibu njaluk idin marang Pak Guru,Ibu arep menyang Kraton Ngayogyakarta,Ana perkara penting sing kudu dirembug langsung ngenani upacara adat,Pak Guru sarujuk nginep ing omah wae,Pak Guru ora tindak karo ibune,Ibu lan Pak Guru bebarengan menyang Sendang Sono
Alcatraz seneng ngulik angka sajeroning tradhisi Jawa,Alcatraz kerep melu lomba mènèkake angka ing tingkat nasional,Vion iku kanca sekolah Alcatraz sing uga seneng ngulik angka,Vion ora seneng melu lomba mènèkake angka ing tingkat nasional,Alcatraz lan Vion seneng pelajaran angka Jawa ,Alcatraz durung nate melu lomba mènèkake angka ing tingkat nasional
Para siswa sekolah dasar di desa wisata bakal lunga menyang kraton kanggo menehi tandha kenaikan kelas lan njajal wayang kulit,Dheweke numpak delman khas Yogyakarta,Lila lungguh ing mburi amarga tekane telat lan kudu ngganti blangkon ,Dheweke krasa mumet lan mual lungguh ing pangkuan delman,"Ing dalan, Lila muntah amarga mumet lan mesti ngunjuk jamu",Dheweke luwih seneng njajal gudeg lan bakpia 
Wiwit mung tuku wayang golek mini,Dheweke tuku sawise nyimpen kanggo mainan,Wiwit taun wingi kepengin tuku wayang golek menyang pameran budaya Jawa,Dheweke nyelehake wayang golek ing pendopo,Dheweke nggunakake wayang golek kanggo ngayomi lakon Ramayana,Wayang golek mung digunakake nalika Wiwit ngerjakake tugas sekolah
Kecerobohane Aris ndadèkaké akibat sing ala.,Aris lali matèni kran banyu sing ana ing pawon.,Dhèwèké kèturon ngentèni adus ngisi bak mandi.,"Isuk-isuk Aris tangi nalika HP-nè sing dicemplungaké menyang lantai, muni muni.",Banyu wis mbanjiri lantai kamare Aris kaya bengawan Solo.,Banyu wis surut kaya lelara wulan.
Nedha sore wis disedhiyakake ing meja makan.,"Ana sega kacang ijo, gudeg, ayam goreng, lengkap karo sambal bawang.",Kabeh panganan mau favorité Rendy.,Ebu masak khusus kanggo ngrayakake suksese Rendy lulus ujian promosi Reog sore iki.,"Sadurunge dhahar, Rendy ngaturake panuwun marang Ebu sing wis masak sore.",Sakdurunge mangan Rendy takon kok mung ayam siji.
Reno jengkel banget karo sing numpak motor neng ngarepe,"Sopir iki ngebut ing dalan, kaya déwa ing wayang kulit","Kacepetan dhuwur ndadekake dheweke mandheg telat, lir ing panggung wayang","Akhire motore nabrak mburi mobile Reno, kaya lakon sembrani ing ludruk","Nanging, sopir malah nyalahke Reno, ngaku dheweke sing bener","Sing numpak motor kudu nganggo blangkon, supaya selamet"
Julia rumangsa uripe ora ana gunane,Gara teka ing urip Julia kaya wayang kulit,Gara nawani ngguyu lan mesem kaya sinden ing grebeg,Julia nampa rasa seneng sing diparingake Gara kaya nalika idul fitri,Julia rumangsa uripe luwih warni kaya batik Jogja,Julia mung pengin mungkasi uripe kaya wong sing ora iman
Barry kudu nggawe gending jangkep,Kelompok Barry kudu ngalami latihan tari tradisional,Barry njaluk saran marang guru karawitan,Barry lan rombongane latihan ngibad raos lan suara,Kelompok Barry minangka grup kanthi tarian tradisional paling becik,Barry ora bisa mbabaraken swara ing musik
"Nuel angel turu ing wayah wengi, kaya wong Jawa sing seneng turu sawise sholat taraweh","Nuel luwih seneng turu esuk, bareng karo kabangunna sinar surya ing gunung Lawu","Kebiasaane Nuel ora apik kanggo kesehatane, kaya wong Jawa sing seneng ngaso ing pager","Nuel uga nduweni kualitas turu sing kurang, nganti-nganti wayah esuk kanggo sarapan gudeg","Nuel kerep krasa ngantuk, kayak wong Jawa sing seneng ngobrol nganti ngantuk","Nuel gampang turu yen arep turu, kaya bayi sing wis diwenehi susu"
Indonesia lagi kena wabah lelara,Wong Jawa kudu ngurus awake dewe,Bupati ngelarang wong kumpul ing pasar,Dilan nganakake pesta ing dalu,Dilan nglanggar adat istiadat Jawa sing ditetepake para sesepuh,Dilan ora luput yen rame-rame ngleluri
Pawongan desa Jatiluwih nandur pari kanthi cara makarya bareng-bareng,Lemah ing desa tani Jawa Tengah winates banget,Pawongan desa nyegah longsor kanthi cara ngadegke bale wisata,Pawongan desa nganggo ilmu sing diwulangake dening para leluhur ing carita wayang,Para leluhur desa Jatiluwih uga nggunakake cara makarya bareng-bareng,Ing desane wong desa akeh lemah petang
"Sapuluh jam wis rampung, nanging bis sing nggawa rombongan SD Harapan isih macet",Bus kasebut kena pengaruh lalu lintas ing rute puncak,Bocah-bocah wis mulai bosen ngenteni suwe ing bis,Guru-guru berinisiatif menghibur bocah-bocah sing bosen,Dheweke ngajak bocah-bocah dolan menyang pasar tradisional,Padha nyurung bis supaya cepet teka
Minggu kepungkur Didit mlebu rumah sakit,Dheweke kena usus buntu,Akhir-akhir iki dheweke kerep mangan sego gorèng,Saiki dheweke wis dicegah,Dheweke ora bakal mangan sego gorèng maneh,Didit ora bisa nolak godaan sate kambing
Sirahe Melvin isih krasa mumet,"Ing wektu olahraga, kelas latihan jemparing","Kanthi semangat, Melvin ngetutake obahe wayang golek favorite","Tinimbang nggebug pecut, obyek sing bunder bener-bener nabrak sirahe","Akibate, dheweke kudu ngaso ing pawon lemah",Melvin nggegirisi pecut sing nggawe dheweke mumet
Nova minangka lurah karawitan tradisional,Gibran minangka lurah sanggar tari,Nova lan Gibran ing macem-macem lapangan budaya Jawa,Nova ora bisa ngiringi Gibran,Gibran meksa Nova melu pasanggiri karawitan,Nova mung dadi anggota pengurus dha'wah
Adit pisah karo Alma sawise perayaan Sekaten,Adit budhal tanpa pamit pas wayah wengi,Wektu iki Adit kepingin ketemu Alma kanggo ngobati rasa patah ati,Acara Grebeg Maulud bakal dadi kesempatan kanggo ketemu Alma maneh nggandhulake kasih sayange,Adit mesthi teka ing acara Grebeg Maulud kanggo nguwongke Alma,Adit pamit karo nangis pas wayah wengi ing ngarepe omah Alma limang taun kepungkur
Norman kepengin dadi lurah désane,Norman kudu melu ing serangkaian pilihan kepala désa,Norman nglakokake kampanye kanggo njaluk wong milih dheweke supaya désa makmur,"Norman kasil ngrebut atine wong akeh dibandhingake karo mungsuh, amarga programé kang séhat lan adil",Norman menang pilihan kepala désa,Norman dadi ketua panitia adat désa
Sandhika kangen banget karo mbah putrane,Mbah putrane Sandhika seda nalika isih cilik,Sandhika pengin bisa mrenegeti jaman mbiyen,Sandhika kepengin ketemu mbah putrane maneh,Karepe Sandhika ora bisa kawujud,Sandhika tansah tindak karo mbah putrane
Minfa tuku sirih akeh,Minfa tuku sirih bunder loro,Minfa uga tuku sirih lombok loro,Minfa nyelehake sirih ing njeron joglo,Minfa duwe sirih papat ing njeron joglo,Minfa ora seneng tuku sirih
Komplek Griya Raisa dibanjiri leri,"Suka ora seneng, kulawargané kudu ngungsi mbanjur",Miturut mlayu menyang Griya Turi,Raisa nggawa kabeh prakara sekolah sing isih bisa disimpen,"Sanajan ana sawetara buku sing teles, nanging isih bisa digunakaké",Dhèwèké didol kanggo tuku delman
"Wiwit cilik, Aura seneng ngumpulake barang bekas kanggo dibuat dekorasi wayang kulit","Dheweke nglumpukake barang-barang bekas cilik kayata botol plastik, kertas bungkus lan tutup botol kanggo digawé pernak-pernik wayang",Dheweke ngresiki barang-barang bekas lan ngowahi dadi perhiasan wayang kulit sing unik kaya déné perhiasan Ratu Kencana Wungu,"Sauntara kuwi, dheweke nyimpen barang bekas sing durung digunakake ing kamar khusus kanggo nggawé dekorasi Grebeg Maulud",Dheweke ngedol asil karyane marang kanca-kancane kanggo nguri-uri budaya Jawa,Omahe Aura njijiki banget kaya Gunung Merapi nalika mejikukus
Anggi ora bisa mangan tanpa gudeg,Ing omahe Anggi mesthi ana Kendhi gedhe sing isine gudeg,"Nalika mangan sega karo lawuh lan sayuran apa wae, Anggi mesthi nambah gudeg","Anggi ugi dhahar sop kadosta bakso, soto utawi soto, kaliyan gudeg",Anggi pancen senengane gudeg,Anggi ora seneng mangan gudeg
Sekar seneng ngombe bandrek,Sachi seneng ngombe bajigur,Sekar lan Sachi menyang warung kopi,Sekar lan Sachi pesen gado-gado,Sekar pesen bandrek lan Sachi pesen bajigur,Sekar lan Sachi ora bisa menyang warung kopi
Ririn ngawangun naskah kanggo pagelaran wayang,Para dalang wayang apal naskah sing digawé Ririn,Ririn pinter banget ngawangun naskah,Dalang ngalem kerja kerase Ririn,Naskah sing digawé Ririn apik banget lan rinci,Ririn mung bisa nari latar ing pagelaran wayang
Candhakusuma njaga kembang jepun,Candhakusuma nyritakake akeh perkara marang kembang jepun,Kembang jepun tansah ngrungokake kanthi tenang,Kupu-kupu kerep mabur nanging ngerti dalane mulih ing taman,Candhakusuma pancen tresna marang kembang jepun,Kembang jepun Candhakusuma ilang
Fanya kudu njaguli wayang ing ngarepe wong akeh,"Fanya krasa gugup banget, kaya-kaya lupa dalan","Fanya wedi ngisin-isini awake dhewe, kaya wong esor",Chiara nyengkuyung Fanya supaya yakin kaya Jaka Sembung,Fanya kasil nggawe peran wayang sing apik amarga dhukungan saka Chiara,Fanya ora gelem njaguli wayang
Tiro seneng banget nyoba tradisi anyar ing Yogyakarta,Tiro ora duwe panggonan permanen kayata wayang kulit,Tiro urip kayata wong nomaden ing Jawa,Tiro ora duwe papan kanggo mulih kayata lemah cipta ing Borobudur,Tiro seneng urip bebas kayata nari Bedhaya,Tiro tansah kepingin mulih ing kampung halaman ing Solo
Sore iku alun-alun kota Yogyakarta rame banget,"Kaya biasane, warga Yogyakarta lagi nggelar upacara adat kanggo persiapan hari raya","Sayange, Mamat mung bisa ndeleng saka kejauhan",Sikile tatu lan ora diijini nari reog kanggo sawetara wektu,Dheweke sedhih banget lan kepengin cepet mari,Mamat ganti dadi pemain wayang kulit
Andi lan Indra seneng banget dolanan pecahan arang,Pecahan arang sing paling disenengi Andi lan Indra yaiku pecahan arang wayang,Dheweke ngumpulake macem-macem pecahan arang ing omah,Andi lan Indra kerep ngajak kanca-kancane dolanan wayang bebarengan,Dheweke seneng bisa nuduhake pitutur luhur karo kanca liwat wayang kulit,Iki ditindakake supaya kanca-kancane ketagihan dolanan wayang lan dadi males sinau ngaji
Tito kapilih dadi lurah ing désa anyar ing Jawa Tengah saiki.,"Nalika isih kuliah, Tito uga kapilih dadi ketua himpunan mahasiswa.","Tito ora tau nyalon, nanging ora bisa nolak yen dicalonke kaya déné wayang kulit.",Tito ora ngerti carane nolak tanpa nyebabake rasa ora nyaman kanggo awake dhewe lan wong-wong ing saubengé kaya déné ing upacara adat Jawa.,"Pungkasane Tito tansah pasrah lan mung nindakake apa wae tugas sing diwenehake marang dheweke, kaya déné njalanke tata krama.",Akhire Tito niat pindah désa ben ora usah dadi lurah désa.
Erin ngadepkeun prestasi anu mbanggake,Erin milu loba kompetisi nalika sekolah,Erin henteu hayang ngalaman kekalahan,Erin terus ngalakukeun upaya kanggo ngangkat,Erin henteu bisa ngangkat deui,Erin ukur pasrah kana hasil unggal kompetisi
"cah, ayo metu lan dolanan udan!","Kaya biasane, bocah-bocah wadon mesthi seneng yen udan, utamane udan ing wayah sore.","Amarga dheweke bakal bisa dolanan udan karo kancane, Ari.","&#x201C;Ayo Ari, ayo ngapungake prau kertas iki,&#x201D; kandhane bocah wadon iku kanthi semangat karo menehi prau kertas marang Ari.","Ari njupuk prau kertas, banjur mlayu ing udan nututi bocah wadon kasebut kanthi seneng.","&#x201C;Ayo Ari, dhaharmu wis siap ta?&#x201D; jare cah wadon maneh."
Zane lunga preian menyang Taman Sari,Kiano uga lunga karo Zane menyang Taman Sari,Zane njupuk sawetara gambar saka bumi perkemahan,Kiano njaluk Zano njupuk gambar,Zano nuruti panjaluke Kiano,Zane prei dhewe menyang Kraton
Raden Mas bakal dadi bapak,Bojone Raden Mas nyoba nglairake anak,Raden Mas ndedonga supaya anak lan bojoné slamet,Bojone Raden Mas ora bisa disimpen,Raden Mas ilang bojo lan anak,Raden Mas wis dadi bapak wiwit lair saka anak pisanan
Panembahan kudu mutusake kasus kasebut ing kerajaan,Panembahan kudu adil,Ervino asring ora adil nalika nggawe keputusan,Ervino ora kerja ing bidang karajan lan patembongan,Ervino ora kerja dadi panembahan,Ervino minangka panembahan sing adil
Revan lungguh ing bangku ing warung kopi cedhak masjid.,Angkot menyang Pasar Gede ora teka-teka.,Revan wis ngenteni setengah jam.,Dheweke wiwit krasa kesel amarga wis wengi ora nedha bubar.,Akhire Revan mutusake mung mulih numpak andhong.,Akhire Revan mutusake tuku es dawet ing cedhak warung kopi.
Kanjeng Ratu nangis sedhih,Citra sesepuh sing paling apik ora ilang ing memori,Kanjeng Ratu kepengin ngilangi rasa sedhih,Kanjeng Ratu kangen sesepuhé,Kanjeng Ratu ora bisa nglalekake sesepuhe sing apik,Kanjeng Ratu minangka wong sing gampang banget lali
"Wiwit wingi, Irma ora mandheg-mandheg mbuang banyu",Wingi dheweke nemokake jeruk bali ing kulkas,Dheweke langsung ngombe cukup akeh,Jebul isine sari jeruk nipis sing asem banget,Akhire Irma mbebek amarga kakehan ngombe sari jeruk nipis,Irma ngombe sari jeruk nipis sing sithik lan pungkasane lara weteng
Ella manggon ing lumbung sing ora apik ing desane,Ella ora duwe wong tuwa utawa kulawarga sing urip karo dheweke,Ella nyambut gawe ing sawah kanggo nyukupi kebutuhan sehari-hari,Ella ora nerusake pasinaonane ing pesantren,Ella mung mikir kepriye isih bisa mangan sesuk ing desane,Ella manggon karo mbah putrine
Tian manggung ing wayang kulit,Tian tansah wedi liwat dalan ing desa,Tian bengok-bengok yen ana sing ngomong Jawa,Tian mlayu lan njerit wedi karo liwat kubur leluhur,Tian bocah sing wedi karo setan,Tian wani ana ing pasar malam
Penumpang bis isih emosi,Pencopet kecekel tangan nalika nindakake aksi kasebut,Dheweke pengin njupuk dompet penumpang,Penumpang bis sing nesu langsung nyerang copet,"Sopir bis ngelingake penumpang supaya ora njupuk hukum menyang tangane dhewe, nanging uga ngajak penumpang kumpul bareng kanggo ngadili pencopet miturut hukum adat Jawa.","Dompet kudu diselehake ing panggonan sing aman, nanging pencopet tetep kena hukum adzab saka masyarakat."
Ratna olèh bebungah 1 ing kelas,Erin olèh peringkat sepuluh,Ratna njawil Erin sing ana ing sangisoré,Erin ora gelem mènèhi kawigatèn marang nggodhane Ratna,Erin ora peduli karo wong-wong sing ganggu dhèwèké,Erin lir ing nggodhane Ratna
"Saben-saben kumpul, keluarga besare Pak Miro bakal manggang sate kambing","Biasane padha nuduhake tugas, kayak nggodhog bumbu kacang",Sawetara sing tanggung jawab kanggo nyiapake daging kambing lan rempah-rempah,"Sisane ditugasi nyiapake piranti panggangan sate, kalebu tusuk sate sing digawe saka bambu","Sate sing wis rampung dipangan bareng, ditambah kacang lan irisan bawang","Sate biasane digawe saka macem-macem kewan, kayata pitik lan iwak"
"Sari pacaran karo Tiro, priya kang asalé saka Surakarta","Tiro kudu kerja ing Jakarta, kutha gedhé ing Jawa Kulon",Sari kudu mapan kanggo nerusake sinau ngèlmu pawiyatan luhur ing Universitas Gadjah Mada,Sari lan Tiro selalu sregep komunikasi saben wektu nggunakaké aplikasi pesen,Sari lan Tiro bisa liwat hubungan jarak adoh karo sabar lan percaya marang keduane,"Sari ngiyanati Tiro karo ndadèk priya liya, Mas Tikno kang asalé saka Yogyakarta"
Gampang banget sliramu ngomong katresnan. Apa iku katresnan?,"Kanggoku, katresnan iku dudu teori kang kudu dijlentrehake maknane",Lajeng adhikamu ngerti sapa iku?,Adhikamu bakal ngerti wong nalika adhikamu ngrasakake geter. Iku gampang banget. Lan ayu banget,Kok ora masuk akal.,Sliramu nganggo beskap sing cocog karo dekorasi pawon.
Rombongane Arjuna mutusake nyambut gawe ing sawah Jio,"Bareng wis tekan ing kebun Jio, kabeh padha kaget",Nyewane Jio reged banget,"Sandhangan&#xE9; sumebar, ora kapisah antara resik lan reged",Dheweke mutusake kanggo mbantu Jio ngresiki sadurunge nindakake tugas kasebut,"Kanggo nggawe kamar nyaman, luwih becik menehi penyegar hawa"
Zuzu iku bocah boros kang seneng nggadhahi barang mewah,Dheweke kerep mbuwang dhuwit kanggo blangkon lan wayang,Dhuwit kanthong sing diwenehake wong tuwane tansah entek kanggo mbeli batik,Saben dina dheweke mbukak situs belanja online kanggo nggoleki keris,"Pungkasane, Ibu tumindak kanthi tegas lan nyuda dhuwit saku kanggo mbayar sesaji",Dheweke mbukak situs kanggo ngerjai tukang batik
Adhiku seneng gudeg,Adhiku seneng bakpia,Ibu mung tuku bakpia,Adhiku ora seneng bakpia,Kakang ora oleh krupuk,Kakang njupuk es campur kabeh
Cakka nembang saka lelap.,Suwara bedhug-bedhug kentongan nggugah dheweke.,Jam gede wis nunjukake jam siji sore.,Suwarane ibu keprungu saka njaba lawang kamare bareng karo bedhug-bedhug kentongan.,Ibu dhawuh Cakka siap-siap amarga ora suwe gurune teka saka pasar tradisional.,Ibu ngongkon Cakka lelap maneh.
Lesti ngalami lara ati,Pacar Lesti ngapusi dheweke ing mburi nalika arep lungguh bareng ing sendang,"Lesti wis ora bisa percaya marang wong liya maneh, amarga ngalameni kecewa kaya ngene",Lesti sengit marang pacare nganti nglanggar genta ing pawiwahan,Lesti langsung pisah karo pacare pas pahargyan Sekaten,Lesti ngapura pacare lan ajeng lungguh bareng ing klapa malam
