topic,kalimat_1,kalimat_2,kalimat_3,kalimat_4,correct_ending,incorrect_ending
Daily Activities,Mbok Siti seneng masak sayur asem kanggo kulawarga,Sayur asem dadi panganan favorit saben wengi,Kulawargane mbok Siti seneng banget karo masakane,Mbok Siti tansah masak kanthi tresna,Sayur asem mbok Siti dadi terkenal ing kampung.,Kulawargane ora seneng karo sayur asem mbok Siti.
Daily Activities,Rina seneng menyang pasar tradisional saben minggu,"Ing pasar, Rina bisa tuku sayuran segar lan panganan lokal",Pasar tradisional dadi papan sing rame lan nyenengake,Rina seneng ngobrol karo bakul-bakul ing pasar,Rina dadi dikenal lan disayangi bakul ing pasar.,Rina ora tau menyang pasar tradisional maneh.
Daily Activities,Budi seneng banget karo dolanan pit,Saben sore Budi mesthi ngubengi desa nganggo pit sing diwarisake saka bapake,"Budi ora mung ngrasakake kabungahan, nanging uga ngeling-eling bapake sing wis almarhum","Siji dina, ban pité bocor nalika lagi numpak",Budi mulih mlebu omah karo mlaku.,Budi tetep bisa nindakake perjalanan nganggo pit.
Daily Activities,Siti bangun esuk-esuk kanggo nyingkirake halaman omahe,Siti nggawa sapu lan ember kanggo ngresiki kembang sing wis rontok,Halaman omah dadi resik lan apik,Siti seneng banget karo asil kerjane,Siti ngrasakake rasa lega lan kepuasan amarga halaman omahe resik.,Halaman omahe tetep kotor lan ora apik.
Daily Activities,Andi lan ibune masak sega liwet ing pawon tradisional,Andi nyiapake bahan-bahan lan ibune masak nganggo dandang,Aroma sega liwet sing wangi nyebar ing saubengé pawon,Sega liwet wis mateng lan siap dipangan,Keluargane Andi mangan sega liwet bebarengan karo seneng.,Sega liweté ora mateng lan kudu dibuwang.
Daily Activities,Wahyu nggiring sapi menyang padang rumput saben sore,Sapi-sapi mangan suket seger lan Wahyu nunggu ing pinggir padang,"Saben wengi, Wahyu nggawa sapi bali menyang kandang","Suatu sore, siji sapi ilang",Wahyu nggoleki sapi sing ilang nganti ketemu.,Wahyu nggawe sapi-sapi tetep ing padang rumput.
Daily Activities,Lina sinau nindakake batik ing omahe,Ibune Lina sing mulang carane nggawe pola lan nyelup kain,Lina sinau kanthi tekun lan sabar,"Akhire, Lina bisa nggawe batik sing apik banget",Batik karya Lina dipuji ibune lan tetangga.,Lina ora bisa nggawe pola batik sing apik.
Daily Activities,Rini nyiapake barang-barang kanggo perjalanan menyang desa simbah,Rini ora lali nggawa oleh-oleh kanggo simbah lan dulur-duluré,Perjalanan ditempuh nganggo bis sing rame penumpang,"Nalika tekan desa, Rini kaget amarga oleh-olehé ketinggalan",Rini bali menyang omah kanggo njupuk oleh-oleh.,Rini tetep nggawa oleh-oleh menyang desa.
Daily Activities,Sinta tansah tangi esuk kanggo nyiapake sarapan kanggo keluargane,Dheweke nggawe nasi goreng lan teh anget,Kabeh anggota keluarga mangan bebarengan ing meja makan,Iki dadi momen sing penting kanggo njaga keakraban kulawarga,"Akibate, hubungan antarane anggota keluarga dadi luwih erat lan harmonis.","Akibate, Sinta ora seneng masak maneh kanggo keluargane."
Daily Activities,Eko tansah numpak sepeda kanggo budhal kerja,Dheweke seneng amarga bisa ngirit biaya lan olahraga sekalian,"Sadurunge budhal, Eko mesthi ngecek kondisi sepedane",Iki minangka cara kanggo njaga kesehatan lan lingkungan,"Akibate, Eko dadi luwih sehat lan bugar.","Akibate, sepedane sering rusak lan dheweke kudu numpak angkutan umum."
Daily Activities,Lilik mesthi mbantu ibune nyapu lan ngepel omah saben sore,Iki dadi tanggung jawab kang wis ditindakake wiwit cilik,Lilik ngerti yen omah sing resik bakal nggawe urip luwih nyaman,Ibune tansah memuji lan ngapresiasi bantuan Lilik,"Akibate, Lilik dadi anak sing rajin lan tanggung jawab.","Akibate, Lilik kesel lan ora pengin mbantu maneh."
Daily Activities,Rina seneng dolanan wayang kulit bareng kanca-kancane,Dheweke sinau babagan cerita tradisional saka kakekne,"Saben sore, Rina lan kanca-kancane ngumpul ing teras omah kanggo nonton pertunjukan wayang",Iki dadi hiburan sing ngedukasi lan nyenengake,"Akibate, Rina lan kanca-kancane ngerti lan nguri-uri budaya Jawi.","Akibate, Rina lan kanca-kancane bosen lan ora seneng dolanan wayang maneh."
Daily Activities,Agus tansah nggawa tumbler isi banyu putih menyang sekolah,Dheweke ngerti yen ngombe banyu putih iku penting kanggo kesehatan,"Saben istirahat, Agus mesthi ngombe banyu saka tumbler-e",Iki dadi kebiasaan sehat sing terus dilakoni,"Akibate, Agus ora tau ngalami dehidrasi lan tetep fokus ing pelajaran.","Akibate, Agus lali nggawa tumbler lan kudu tuku minuman botol."
Daily Activities,Budi lan kanca-kancane seneng main layang-layang ing sawah,"Saben sore, sawah dadi rame karo bocah-bocah sing dolanan",Budi nggawe layang-layang dhewe saka kertas lan bambu,Kegiatan iki ngelingake Budi marang masa cilikane bapake,"Akibate, Budi lan kanca-kancane ngrasakake kebersamaan lan seneng-seneng.","Akibate, Budi lara amarga sering dolanan layang-layang."
Daily Activities,Sinta lan Raka tindak pasar tradisional saben dina,Sinta seneng tuku sayuran segar lan Raka seneng tuku iwak seger,"Dina iki, Sinta ora nemokake sayuran kesukaane",Raka ngusulake supaya tuku ing pasar liyane,Sinta lan Raka nemokake sayuran sing luwih apik ing pasar liyane.,Sinta lan Raka bali menyang omah tanpa tuku apa-apa.
Daily Activities,Pak Budi ngajar ing sekolah ing desa cilik,"Saben dina, dheweke numpak pit kanggo tekan sekolah","Dina iki, pit dheweke bocor ing tengah dalan",Murid-muride padha nunggu ing sekolah,Pak Budi tekan sekolah kanthi numpak becak.,Pak Budi ora tekan sekolah dina iki.
Daily Activities,"Sore iku, Ayu lan mbakyune nyapu halaman",Angin kenceng nggawa akeh godhong tiba,Mbakyune Ayu kepingin ngaso sebentar,Ayu tetep nyapu nganti halaman resik,Halaman dadi resik lan ayu seneng bisa mbantu mbakyune.,Mbakyune Ayu kaget amarga godhonge tambah akeh.
Daily Activities,Pak Tono duwe bis pariwisata sing kerep disewa para wisatawan,"Saben minggu, dheweke ngecek kondisi bis supaya tetep aman","Dina iki, ban bis bocor lan kudu didandani",Wisatawan padha nunggu ing panggonane,Pak Tono cepet-cepet ngganti ban lan bis bisa mlaku maneh.,Wisatawan padha lunga amarga kesel nunggu.
Daily Activities,Luluk sinau masak saka ibune,"Dina iki, dheweke arep masak rawon kanggo kulawargane",Ibune ngandhani supaya ati-ati karo bumbu,Luluk kaget amarga rasa rawone beda,Ibune Luluk trenyuh amarga Luluk wis bisa masak dhewe.,Luluk ora seneng masak maneh amarga gagal.
Daily Activities,Bima seneng numpak sepeda motor ing desane,"Saben sore, dheweke dolan menyang omahe kancane","Dina iki, dheweke nemokake rodhane bocor ing tengah dalan",Ora ana bengkel ing sekitar,Kancane Bima mbantu ndandani rodhane.,Bima mung nuntun sepedane bali menyang omah.
Daily Activities,Sinta lan ibune lagi masak ing pawon,Sinta sing tanggung jawab goreng tempe,Ibu nyiapake sayur asem,Kabeh padha nyiapake panganan kanggo nedha bengi,"Sinta lan ibune seneng, kabeh panganan rampung lan siap dihidangake.",Sinta malah nggoreng tempe nganti gosong lan ora bisa dipangan.
Daily Activities,Rudi numpak sepeda menyang pasar saben esuk,Rudi tuku sayuran lan buah-buahan kanggo keluargane,Pasar iku rame lan kebak wong,Rudi kudu sabar ngantri kanggo mbayar,Rudi mulih karo kresek kebak sayuran lan buah-buahan seger.,Rudi kelangan dompet lan ora bisa tuku apa-apa.
Daily Activities,"Dina wengi, Rina lan keluargane ngumpul ing ruang tamu",Wong-wong padha ngobrol lan guyon bareng,Rina nggawe wedang jahe kanggo kabeh,Wong-wong padha seneng karo wedang jahe sing digawe Rina,Wong-wong padha mangan roti kacang lan ngombe wedang jahe kanthi seneng.,Wong-wong ora seneng karo wedang jahe lan kabeh lunga menyang kamare dhewe-dhewe.
Daily Activities,Rina seneng masak kanggo keluargane,"Saben esuk, Rina mesthi masak sarapan tradisional Javanese",Dheweke ngarep-arep keluargane seneng karo masakane,Rina masak pecel lan soto kanggo sarapan,Keluargane Rina seneng lan mangan bareng-bareng.,Rina ora masak maneh kanggo keluargane.
Daily Activities,Budi seneng nyapu kebon saben sore,Kegiatan iki ndadekake dheweke luwih sregep lan disiplin,"Kanggone, kebersihan iku penting banget",Budi nyapu lan ngumpulake godhong-godhong sing rontog,Kebone Budi dadi resik lan ayu.,Budi ora seneng nyapu maneh.
Daily Activities,Siti seneng maca buku ing sore dina,Dheweke biasane njupuk buku saka perpustakaan desa,Siti pengin nambah wawasan lan ilmu pengetahuan,"Sore iku, dheweke milih buku babagan sejarah Jawa",Siti dadi ngerti sejarah desane lan budaya Jawa.,Siti ora bisa maca buku.
Daily Activities,Andi dolan menyang sawah karo kanca-kancane,Dheweke pengin ngerti carane petani kerja,Andi lan kanca-kancane diajak ngarit lan nandur padi,Dheweke seneng sinau bab anyar,Andi dadi ngerti pentinge petani lan kerja keras.,Andi ora gelem bali menyang sawah maneh.
Daily Activities,Wulan ngrawat kebon kembang ing omahe,Dheweke seneng ndelok kembang-kembang sing mekar,Kegiatan iki nggawe Wulan rileks lan bahagia,"Saben sore, dheweke mesthi nyirami kembang-kembang kasebut",Kembang-kembang ing kebon Wulan dadi luwih subur lan apik.,Wulan ora nyirami kembang maneh.
Daily Activities,Joko seneng numpak pit kanggo sekolah,Dheweke rumangsa luwih sehat lan selaras karo alam,Joko uga seneng nitih pit bareng kanca-kancane,"Saben esuk, dheweke mesthi budhal sekolah bareng-bareng",Joko dadi luwih sehat lan semangat ing sekolah.,Joko ora seneng numpak pit maneh.
Daily Activities,Sari tansah tangi esuk kanggo ngresiki omah,Dheweke nyapu lan ngpel lantai saben dina,"Dina iki, Sari krasa kesel banget","Nanging, dheweke tetep ngresiki omah kaya biasane",Sari ngrasa seneng amarga omah resik lan apik.,Sari mutusake kanggo ora ngresiki omah maneh.
Daily Activities,Bagus pancen pinter masak,"Dina iki, Bagus pengin masak soto ayam kanggo kulawargane","Nalika masak, Bagus ngerti yen bahan-bahane ora cukup",Bagus cepet-cepet menyang pasar kanggo tuku bahan tambahan,Soto ayam Bagus dadi enak lan kulawargane seneng banget.,Bagus ora bisa nemokake bahan tambahan lan ora bisa masak soto ayam.
Daily Activities,Lilis seneng banget mbribik sepedha sore-sore,"Saben sore, dheweke mlaku-mlaku ngubengi desa",Lilis seneng ketemu karo tanggane lan ngobrol,"Dina iki, dheweke mutusake kanggo mlaku luwih adoh",Lilis ketemu kanca lawas ing desa sebelah lan ngobrol suwe.,Lilis kesel banget lan ora bisa mbribik maneh.
Daily Activities,Adi saben sore seneng maca buku ing teras omahe,"Dina iki, Adi mutusake kanggo maca buku sejarah",Adi kepincut karo carita pahlawan lan perjuangane,"Sedhela, tanggane sing jenenge Budi teka",Budi lan Adi rembugan babagan sejarah lan pahlawan.,Adi ora seneng karo kehadiran Budi lan mutusake kanggo mandheg maca.
Daily Activities,Endang mesthi masak kanggo kulawargane saben bengi,"Dina iki, Endang pengin nyoba resep anyar saka internet",Endang butuh bahan-bahan sing durung nate digunakake sadurunge,Dheweke lunga menyang pasar tradisional kanggo tuku bahan-bahan kasebut,Endang kasil masak panganan anyar lan kulawargane seneng banget.,Endang ora bisa nemokake bahan-bahan lan ora bisa masak panganan anyar.
Daily Activities,Rini seneng dolanan karo adhine saben sore,"Dina iki, Rini lan adhine mutusake kanggo dolanan dakon",Rini ngejarke adhine cara main dakon sing bener,Adhine Rini cepet banget sinau lan dadi pinter,Adhine Rini menang dolanan dakon lan padha seneng banget.,Rini menang dolanan dakon lan adhine nesu.
Daily Activities,Siti nyiapake wedhang jahe kanggo keluargane,Siti ngerti yen wedhang jahe bagus kanggo kesehatan,Keluargane seneng karo rasa wedhang jahe sing digawe Siti,Siti seneng bisa nyukupi kebutuhan kesehatan keluargane,Keluargane Siti pancen sehat terus.,Siti ora bisa nemokake jahe kanggo wedhang.
Daily Activities,Budi nungkak kendharaan pit motor menyang pasar,Budi pengin tuku sayur lan buah seger,Budi ketemu karo kancane sing uga tuku barang-barang ing pasar,Kancane Budi ngrayu dheweke kanggo dolan sawise saka pasar,Budi tetep fokus karo tujuane lan bali menyang omah.,Budi kelangan barang-barang sing dituku.
Daily Activities,Dina saben dina ngumbah klambi kulawargane,Dina ngerti carane ngumbah klambi supaya tetep awet lan wangi,Dina uga nyetrika klambi-klambi kasebut supaya rapi,Kulawargane Dina seneng amarga klambine tansah resik lan wangi,Dina uga ngatur wektu kanggo ngaso sawise ngumbah klambi.,Dina ora duwe wektu kanggo ngaso.
Daily Activities,Pak Tono ngajarake anak-anaknya tetangga carane nandur padi,Pak Tono ngerti yen penting kanggo anak-anak ngerti cara-cara tradisional,Anak-anak seneng lan semangat sinau saka Pak Tono,Pak Tono bangga bisa melu nglestarekake budaya nandur padi,Anak-anak saiki ngerti carane nandur padi kanthi bener.,Pak Tono ora ngerti carane nandur padi.
Daily Activities,Dinda lan kulawargane seneng mangan bareng ing meja makan,Dinda mesthi mbantu ibune nyiapake panganan,Bapakne Dinda mesthi nyritakake pengalaman ing kantor saben mangan,Kulawarga Dinda dadi luwih akrab lan kompak,Dinda lan kulawargane tetep rukun lan harmonis.,Dinda ora gelem mbantu ibune nyiapake panganan.
Daily Activities,Slamet nggawe layangan kanggo dolanan sore,Slamet nggawe layangan saka bambu lan kertas,Slamet seneng banget nalika layangan bisa mabur ing langit,Kanca-kancane Slamet uga melu dolanan layangan,Layangan Slamet dadi sing paling dhuwur ing langit.,Layangan Slamet ora bisa mabur.
Daily Activities,Pak Darto saben dina budhal menyang sawah esuk-esuk,Dheweke nggawa cangkul lan papan ngaso cilik,Pak Darto nindakake iki supaya bisa ndedonga nalika srengenge lagi munggah,"Nalika sore, dheweke bali menyang omah karo hasil panen",Pak Darto lan kulawargane mangan bebarengan karo hasil panen iku.,Pak Darto bali menyang sawah maneh ing wayah bengi.
Daily Activities,Ibu Rina nyiapake wedang jahe kanggo kulawargane saben sore,Wedang jahe iki digawe saka bahan alami lan rempah-rempah asli,Wedang jahe iki dipercaya bisa ngangetin badan lan nyingkirake lelah,"Saben sore, kulawargane ngumpul ngombe wedang jahe bebarengan",Kulawarga Ibu Rina dadi luwih sehat lan kompak.,Ibu Rina ngganti wedang jahe karo kopi amarga luwih gampang.
Daily Activities,Wawan sering numpak sepeda kanggo sekolah,Sepedane diatur dhewe supaya luwih nyaman lan aman,Kanca-kancane kagum karo ketekunan Wawan,Wawan dadi conto apik kanggo kanca-kancane,Wawan sering menang lomba balap sepeda ing desane.,Wawan banjur ora gelem numpak sepeda maneh amarga kesel.
Daily Activities,Bu Sari seneng masak panganan tradisional Javanese,"Saben dina, dheweke nggawe masakan beda kanggo kulawargane",Bu Sari uga ngajari anake cara masak panganan kasebut,Masak bebarengan dadi kegiatan rutin sore,Anak-anak Bu Sari dadi pinter masak panganan tradisional.,Bu Sari mandheg masak lan tuku panganan cepet sawise iku.
Daily Activities,Pak Yanto duwe warung kopi cilik ing pinggir desa,"Saben sore, akeh warga sing mampir menyang warunge kanggo ngombe kopi lan ngobrol",Pak Yanto seneng ngrungokake crita saka para pelanggan,Keakraban ing warung kopi iki dadi ciri khas desa,Warung kopi Pak Yanto dadi panggonan kumpul favorit ing desa.,Pak Yanto nutup warunge amarga ora ana pelanggan.
Daily Activities,Desi lan Rina sering dolanan ing alun-alun desa,"Ing kono, ana akeh dolanan tradisional sing bisa dimainake",Desi lan Rina seneng dolanan gobak sodor lan engklek,Kabeh warga desa seneng ndelok bocah-bocah dolanan bebarengan,Dolanan tradisional iki tetep dilestarikan ing desa.,Desi lan Rina bosen dolanan lan milih nonton TV.
Daily Activities,Anwar tangi esuk-esuk kanggo nyiapake sarapan,Anwar nggawe teh lan roti bakar kanggo keluargane,Anwar seneng amarga kabeh anggota keluarga sarapan bareng,Anwar ngecek jadwal kegiatane dina iki,Anwar kaget amarga jadwal kegiatane kebak.,Anwar lali nggawe sarapan kanggo keluargane.
Daily Activities,Sinta tindak pasar sore kanggo tuku sayuran seger,Sinta nindakake tawar-menawar karo penjual,Sinta seneng amarga entuk sayuran sing apik kanthi rega murah,Sinta langsung bali menyang omah kanggo masak,Sinta masak sayur asem kanggo keluargane.,Sinta lali tuku sayuran sing dibutuhake.
Daily Activities,Bayu nyiapake sepeda motor kanggo kerja,Bayu mriksa kahanan ban lan minyak mesin,Bayu ora pengin ana masalah ing dalan,Bayu mangkat kerja kanthi semangat,Bayu telat tekan kantor amarga lalu lintas macet.,Bayu ora nemoni masalah ing dalan lan tekan kantor tepat waktu.
Daily Activities,Ningrum maca buku ing sore hari,Ningrum seneng maca buku babagan sejarah,Ningrum ngerti akeh perkara anyar saka buku sing diwaca,Ningrum ngrasa inspirasi kanggo nulis artikel sejarah,Ningrum dadi penulis artikel sejarah sing terkenal.,Ningrum ora nemu inspirasi saka buku sing diwaca.
Daily Activities,Yanto ngumbah mobil ing Minggu esuk,Yanto pengin mobilé katon resik lan apik,Yanto nggunakake sabun khusus mobil,Yanto ngrasakake kepuasan sawise rampung ngumbah,Mobilé Yanto kotor maneh amarga udan.,Mobilé Yanto tetep resik nganti seminggu.
Daily Activities,Rina njahit baju kanggo acara adat,Rina sinau njahit saka ibune,Rina pengin bajune katon apik lan rapi,Rina milih kain sing apik kanggo bajune,Bajune Rina dipuji ing acara adat.,Bajune Rina ora rampung tepat waktu.
Daily Activities,Dina iki Budi arep sekolah numpak sepeda,Kutha durung rame lan udan ora deres,Budi ngliwati sawah lan kebon sing seger,Angin sepoi-sepoi ngiringi perjalanan,Budi ngrasakake ketenangan lan kesegaran alam.,Budi kelangan dompete ing dalan.
Daily Activities,Ibu lagi masak sayur lodeh kanggo nedha bengi,Bahan-bahane saka kebon dhewe,Sayur lodeh minangka panganan tradisional sing disukai kabeh keluarga,Anak-anak wis ora sabar arep mangan,Sayur lodeh iki nggugah selera lan ngelingake kahanan desa.,Sayur lodeh iki ora enak lan kabeh kecewa.
Daily Activities,"Sore iki, Sari lan kanca-kancane dolanan gobak sodor",Dolanan iki pancen populer ing kalangan bocah-bocah,Kabeh seneng lan ketawa bareng,Sari dadi juara ing dolanan sore iki,Dolanan iki ngajarke solidaritas lan kerjasama.,Sari njaluk hadiah saka kanca-kancane.
Daily Activities,Malam iki Ana lan keluargane kumpul ing ruang tamu,Lagi ngobrol babagan rencana liburan,Ana ngusulake kanggo ngunjungi Gunung Bromo,Kabeh setuju karo usulan iki,Liburan iki bakal dadi kesempatan kanggo nyambungake hubungan keluarga.,Kabeh mbatalake rencana liburan amarga ora setuju.
Daily Activities,Pak Rahmat lagi nonton wayang kulit ing balai desa,Wayang kulit minangka seni tradisional sing kaya karo nilai-nilai luhur,Pak Rahmat seneng banget karo lakon-lakon sing disajikake,Dheweke ngrasakake nostalgia wektu isih cilik,Wayang kulit ngelingake Pak Rahmat babagan budaya lan tradisi.,Pak Rahmat ora ngerti apa-apa sing ditonton.
Daily Activities,"Dina iki, Rina lan ibune menyang pasar tradisional",Pasar iki rame karo wong-wong sing blanja kebutuhan saben dina,Rina nemokake panganan tradisional sing jarang ditemokake ing pasar modern,Ibu uga tuku bahan-bahan kanggo masak rawon,Rina seneng amarga bisa belajar babagan panganan tradisional.,Rina ora seneng karo pasar tradisional lan pengin bali.
Daily Activities,Dina iki Sri arep menyang pasar tradisional,Dheweke arep tuku sayuran lan daging kanggo masak,Sri nggoleki tas kresek ing omahe,Sri lunga menyang pasar nganggo sepeda,Sri ketemu karo kanca lawas ing pasar.,Sri ora nemu tas kresek lan ora bisa menyang pasar.
Daily Activities,Budi nyiapake sarapan kanggo keluargane,Dheweke nggawe nasi goreng lan teh manis,"Anake, Rina, seneng banget karo masakane Budi",Budi seneng ndeleng keluargane mangan sarapan,Budi nampa pujian saka bojone.,Budi ngrasakake sarapan dhewe tanpa keluargane.
Daily Activities,Sari saben sore seneng maca buku ing teras,Dheweke seneng maca buku babagan sejarah Jawa,"Dina iki, dheweke nemokake buku anyar sing menarik",Sari langsung mlebu ing jagad maca,Buku kasebut dadi inspirasi kanggo nulis cerkak.,Sari ngantuk lan turu ing teras.
Daily Activities,Pak Tono adalah seorang pengemudi becak,"Saben dina, dheweke ngangkut penumpang saka pasar menyang omahe",Dina iki dheweke duwe akeh penumpang,Pak Tono seneng amarga bisa ngumpulake akeh dhuwit,Pak Tono bisa tuku hadiah kanggo anak-anake.,Pak Tono kesel lan ora bisa ngangkut penumpang maneh.
Daily Activities,"Narti ngguyu karo tanggane, Bu Siti, ing latar omahe",Dheweke crita babagan kabar anyar ing desane,Bu Siti ngguyu lan ndhukung Narti,Narti seneng banget karo obrolane,Narti lan Bu Siti mutusake kanggo nggawe acara kanggo warga desa.,Narti padu karo Bu Siti lan ora kepengin ngobrol maneh.
Daily Activities,Rudi seneng banget dolanan layangan ing sawah,"Saben sore, dheweke dolanan karo kanca-kancane","Dina iki, layangan Rudi mabur paling dhuwur",Kanca-kancane nyoraki Rudi,Layangan Rudi menang lomba dolanan layangan ing desa.,Layangan Rudi rusak lan dheweke sedih.
Daily Activities,Joko lagi nyapu omah,Joko nemokake dhuwit receh ing kolong amben,Joko kaget lan bungah banget,Joko banjur mutusake arep nindakake sesuatu karo dhuwit iku,Joko menehi dhuwit iku marang bakul sayur langganane.,Joko nggunakake dhuwit iku kanggo tuku dolanan.
Daily Activities,Sari masak wedang jahe kanggo kulawargane,Sari nggoleki jahe ing pawon,Sari nemokake jahe lan miwiti masak,Sari menehi wedang jahe marang kabeh anggota kulawarga,Kabeh wong ing kulawarga ngrasakake anget lan seneng.,Sari malah lali yen dheweke ora seneng wedang jahe.
Daily Activities,Bagas pancen rajin nyuci mobil,Bagas ngerti yen mobil iku kudu resik,Bagas nyuci mobil saben minggu,Bagas pengin mobilé mesthi kinclong,Bagas diakoni minangka pemuda sing tanggung jawab ing kampunge.,Bagas ora ngerti carane nyuci mobil sing bener.
Daily Activities,Dinda seneng maca buku ing sore dina,Dinda duwe perpustakaan cilik ing omahe,Dinda asring meminjamake buku marang tanggane,Dinda pengin tanggane uga seneng maca,Tangga-tangga dadi luwih seneng ngunjungi omahe Dinda.,Tangga-tangga malah ora baliake buku sing dipinjam.
Daily Activities,Rudi lumaku menyang pasar saben esuk,Rudi tuku sayuran seger kanggo kulawargane,Rudi seneng ngobrol karo bakul sayur,Rudi percaya yen hubungan apik iku penting,Rudi tansah oleh diskon saka bakul sayur.,Rudi malah ora seneng karo bakul sayur.
Daily Activities,Anita lan keluargane mangan bareng ing meja makan,Anita nyiapake panganan tradisional Javanese,Kabeh anggota kulawarga seneng karo masakane Anita,Anita seneng ndeleng kabeh wong mangan karo nikmat,Anita rumangsa bangga bisa njaga tradisi kulawargane.,Anita malah ora gelem masak maneh.
Daily Activities,Siti tansah tangi esuk-esuk kanggo ngrewangi ibune masak,Dheweke nyiapake sarapan kanggo keluargane,Siti uga mbantu ngresiki omah sadurunge sekolah,Ibune Siti bangga karo kerajinan Siti,Siti sinau tanggung jawab lan kerja keras saka ibune.,Siti ora tau ngrewangi ibune maneh.
Daily Activities,Budi seneng golek iwak ing kali saben sore,Dheweke nggawa jala lan umpan,Budi biasane nggawa iwak akeh kanggo keluargane,Keluargane Budi seneng mangan iwak saka kali,Iwak sing digoleki Budi dadi panganan favorit keluargane.,Budi nggawa iwak menyang pasar kanggo didol.
Daily Activities,Wulan lan kanca-kancane seneng dolanan egrang,Egrang dadi salah sawijining dolanan tradisional ing desane,"Saben sore, bocah-bocah padha latihan ing lapangan",Wulan sing paling trampil dolanan egrang,Wulan dadi conto kanggo kanca-kancane.,Kanca-kancane ora seneng dolanan egrang.
Daily Activities,Pak Wiryo pancen rajin menyang sawah saben esuk,Dheweke nyemproti tanduran lan mbersihake gulma,Pak Wiryo uga ngurus kewan ternak,Kulawargane gumantung marang pangasilane,Pak Wiryo sinau saka generasi sadurunge babagan tani.,Pak Wiryo ora ngerti carane ngurus kewan ternak.
Daily Activities,Rina seneng maca buku nalika sore,Dheweke duwe koleksi buku akeh ing omah,Rina asring nyilih buku saka perpustakaan sekolah,Kanca-kancane Rina njaluk saran buku saka Rina,Rina dadi pinter amarga maca buku akeh.,Rina ora tau maca buku maneh.
Daily Activities,Alif lan bapake saben minggu ngumbah mobil bareng,Iki minangka kegiatan sing nguatake hubungan antarane bapak lan anak,Alif sinau babagan tanggung jawab lan katresnan saka bapake,Mobil sing diumbah dadi resik lan kinclong,Alif bangga bisa ngewangi bapake.,Alif ora seneng ngumbah mobil maneh.
Daily Activities,Siti njupuk banyu saka sumur kanggo masak,Sumure adoh saka omah,Siti kudu mlaku-mlaku saben dina,Kadang-kadang Siti kesel amarga jarake adoh,Wong tuwan Siti mutusake kanggo nggawe sumur anyar cedhak omah.,Siti mutusake kanggo ora masak maneh.
Daily Activities,Bagus lan Dino arep menyang pasar kanggo tuku sayuran,Pasar iku rame lan akeh wong,Bagus pengen tuku bayem lan tomat,Dino pengen tuku lombok lan bawang,Kabeh sayuran sing didol ing pasar iku seger lan murah.,Dino mung tuku bayem lan tomat.
Daily Activities,Rina seneng maca buku ing sore dina,Rina duwe rak buku sing kebak buku ing kamare,"Saben sore, dheweke lungguh ing kursi goyang lan maca",Ibu Rina uga seneng ndeleng anaké seneng maca,Ibu Rina nambahake rak buku anyar kanggo buku-buku Rina.,Rina bosan karo buku-bukune lan mutusake kanggo nonton TV.
Daily Activities,Joko mlaku-mlaku menyang sekolah saben dina,Sekolahé ora adoh saka omahé,Joko seneng mlaku-mlaku amarga bisa ketemu kanca-kancane ing dalan,Kadang-kadang Joko uga numpak pit,Joko lan kanca-kancane seneng mlaku-mlaku bebarengan menyang sekolah.,Joko mutusake kanggo ora sekolah maneh.
Daily Activities,Mbok Minah lagi masak gudeg kanggo acara keluarga,Gudeg iku panganan khas Yogyakarta sing butuh wektu suwe kanggo masak,Mbok Minah wis biasa masak gudeg kanggo keluargane,Keluarga Mbok Minah seneng banget karo gudeg masakane,Keluarga Mbok Minah mangan gudeg bebarengan lan seneng-seneng.,Gudeg masakan Mbok Minah ora enak lan ora ana sing mangan.
Daily Activities,Agus ngresiki omahe saben minggu,"Dheweke sapu lan pel lantai, ngelap jendhela, lan nyusun barang-barang",Agus seneng yen omahe resik lan rapi,Ibu Agus bangga karo anaké sing rajin,Ibu Agus menehi hadiah kanggo Agus amarga rajin ngresiki omah.,Agus kesel lan mutusake kanggo ora ngresiki omah maneh.
Daily Activities,Sari tansah tangi esuk karo nyeduh teh ijo,Sari nindakake iki supaya sehat,Sari uga seneng maca koran nalika ngombe teh,Sari ngrasa iki wektu paling tentrem ing dina,Sari ora bisa maca koran amarga koran wis entek.,Sari ngombe kopi tinimbang teh ijo.
Daily Activities,Budi kerep numpak sepeda menyang pasar saben sore,Budi tansah nyangking tas kain kanggo belanja,Budi seneng tuku sayuran seger kanggo ibune,Budi ngerti yen nganggo tas kain iku luwih ramah lingkungan,Budi ketinggalan tas kain ing omah.,Budi tuku tas plastik anyar ing pasar.
Daily Activities,Rani seneng masak kanggo keluargane,Rani kerep nggawa panganan tradisional kaya klepon lan serabi,Keluargane Rani tansah antusias nyicipi panganan sing digawa,Rani ngrasa seneng yen panganan sing dimasak diterima keluargane,Rani kesel lan ora sempat masak dina iki.,Rani nggawa panganan saka restoran.
Daily Activities,Bayu seneng maca buku wayang,Bayu kagum karo tokoh-tokoh kaya Arjuna lan Bima,Bayu pengin ngerti luwih akeh babagan budaya Jawa,Bayu kerep ngentekake sore karo maca ing teras omahe,Bayu kelalen karo tugas sekolah amarga asyik maca.,Bayu ngentekake sore karo dolanan game.
